,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority,PopDensity
0,1,367244,0.50398274,0.45992697,0.59584787,0.40415213,0.05667178,0.07256861,0.0307855,0.1080234,0.15070853,282698,0.044055769999999994,White,15656.039933339547
1,2,366147,0.34874692,0.60966986,0.63447043,0.36552957,0.02817493,0.0476438,0.00914469,0.0474337,0.23269752,271305,-0.26092294,White,1390.8097858961341
2,1,385776,0.24158297,0.74463988,0.78530156,0.21469844,0.11724145,0.04033801,0.00125973,0.02318905,0.0289772,301651,-0.50305691,White,1018547.4388880321
3,2,385915,0.24013713,0.74807196,0.7165729,0.2834271,0.20119297,0.03707342,0.00171,0.01490716,0.0305352,298246,-0.50793483,White,263227.80289505795
4,3,386526,0.54666564,0.44584376,0.43454567,0.56545433,0.51412442,0.02466885,0.0013425,0.0161763,0.0140515,301676,0.10082187999999997,Black,120148.88604255852
5,4,385501,0.60421617,0.38379186,0.43548228,0.56451772,0.49523114,0.03414174,0.00114453,0.01627332,0.02153551,304056,0.22042431000000007,Black,309463.41199280956
6,5,387438,0.52222998,0.46173919,0.50013652,0.49986348,0.40691175,0.03860844,0.00130603,0.04076322,0.01647833,303975,0.06049078999999996,White,784002.7856301207
7,6,386145,0.26487627,0.72493101,0.72034364,0.27965636,0.21922178,0.02983341,0.0009233,0.00880938,0.02066332,302178,-0.46005474,White,255154.05910831704
8,7,386897,0.32814296,0.65189177,0.75505848,0.24494152,0.13372882,0.05316953,0.00103522,0.03604464,0.0205398,297520,-0.32374881,White,1638660.4260118494
9,8,386939,0.77836745,0.20753616,0.30672578,0.69327422,0.61704812,0.04963392,0.00118897,0.01675104,0.01450483,303623,0.57083129,Black,4444731.123105335
10,9,385942,0.19307962,0.79467639,0.81382688,0.18617312,0.11070072,0.03609857,0.00082303,0.01080056,0.02544643,296466,-0.60159677,White,495286.8495770875
11,10,386858,0.21632424,0.77185341,0.78708205,0.21291795,0.1209079,0.04705052,0.00097294,0.00957435,0.03663516,303206,-0.55552917,White,358905.286649652
12,11,386546,0.13249611,0.85641664,0.86348141,0.13651859,0.03762215,0.06113725,0.00102937,0.00629654,0.03120864,299212,-0.72392053,White,269409.0955770611
13,12,387072,0.27422334,0.71023789,0.76720172,0.23279828,0.13543076,0.04902775,0.00108818,0.01295235,0.03430917,302339,-0.43601455000000006,White,512766.43486636167
14,13,386724,0.44917587,0.52664646,0.63601832,0.36398168,0.24609099,0.05307936,0.0023959,0.03587906,0.03084965,303018,-0.07747059000000006,White,1954654.334126922
15,1,375851,0.55292378,0.41638693,0.42635013,0.57364987,0.499915,0.05219793,0.00112403,0.00861755,0.0185534,288249,0.13653685,Black,157933.28483111586
