,id,NAME,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
0,1,1,815433,0.35875985,0.62083021,0.88241769,0.11758231,0.02349509,0.05500106,0.00183922,0.01882925,0.01592606,626897,-0.14124015,White
1,2,2,814910,0.52810118,0.44712244,0.79379352,0.20620648,0.06204856,0.05990029,0.00140732,0.06198857,0.01696729,616775,0.02810118,White
2,3,3,815157,0.7779198,0.191905,0.63647389,0.36352611,0.17533676,0.08260321,0.00157587,0.08264647,0.02660279,647263,0.2779198,White
3,4,4,814499,0.63729315,0.33698666,0.69830467,0.30169533,0.10162393,0.05979215,0.00155941,0.11923688,0.02041156,624597,0.13729315,White
4,5,5,815710,0.55889476,0.41424051,0.80635664,0.19364336,0.06007034,0.04023143,0.00113443,0.07243225,0.015482,624984,0.05889476,White
5,6,6,815560,0.32294146,0.65670762,0.89464613,0.10535387,0.03206394,0.03285038,0.00106497,0.01837328,0.0150653,610343,-0.17705854,White
6,7,7,815222,0.41480004,0.56530441,0.89027392,0.10972608,0.01835088,0.01776326,0.00112352,0.01103466,0.05493669,638171,-0.08519996,White
7,1,1,748290,0.43369217,0.55447957,0.73171413,0.26828587,0.06341196,0.14875432,0.00098829,0.04688389,0.01472785,601038,-0.06630783,White
8,2,2,748551,0.413296,0.57560246,0.61640492,0.38359508,0.10464854,0.23181271,0.00102929,0.04584892,0.01596239,590701,-0.086704,White
9,3,3,748929,0.47823807,0.50535718,0.62852582,0.37147418,0.04524472,0.1291081,0.00098979,0.19089527,0.00896526,595075,-0.02176193,White
10,4,4,748466,0.50896001,0.47884108,0.51555788,0.48444212,0.19629602,0.20768253,0.00136774,0.08015357,0.01306937,587098,0.00896001,White
11,5,5,747932,0.71155056,0.27318478,0.11707972,0.88292028,0.48942951,0.18873447,0.00494717,0.17824492,0.02786368,593066,0.21155056,Black
12,6,6,747999,0.52139218,0.45751154,0.25511244,0.74488756,0.05114715,0.17907766,0.00191543,0.51526001,0.01179367,614482,0.02139218,Asian
13,7,7,747696,0.67075607,0.30333374,0.39371586,0.60628414,0.11359684,0.35764879,0.00301194,0.14625911,0.02452985,603265,0.17075607,Minority
14,8,8,748085,0.70786939,0.27681601,0.27825572,0.72174428,0.50369591,0.15592981,0.00209845,0.08995847,0.01391827,592818,0.20786939,Black
15,9,9,748731,0.67711328,0.30390561,0.31571755,0.68428245,0.50087084,0.10940524,0.00168885,0.0842504,0.01220056,567843,0.17711328,Black
16,10,10,747585,0.78499549,0.18955827,0.4195265,0.5804735,0.10776629,0.18407291,0.00236433,0.29351701,0.0169053,597209,0.28499549,Minority
17,11,11,748462,0.37109755,0.61028205,0.55388416,0.44611584,0.0877477,0.16717661,0.00158316,0.19526881,0.01457523,590591,-0.12890245,White
18,12,12,747443,0.80766385,0.17195031,0.63343034,0.36656966,0.06764075,0.12342299,0.00392283,0.17154858,0.00933529,666610,0.30766385,White
19,13,13,747605,0.8194668,0.1619545,0.36559425,0.63440575,0.25796117,0.33473582,0.00247994,0.08622195,0.02134114,628645,0.3194668,Minority
20,14,14,748777,0.63420642,0.34630084,0.2170433,0.7829567,0.155933,0.50120371,0.00278401,0.15037507,0.03278101,594826,0.13420642,Hispanic
21,15,15,747979,0.71470379,0.27496064,0.048169,0.951831,0.36441696,0.65068214,0.00428351,0.03783588,0.03431436,561689,0.21470379,Hispanic
22,16,16,748156,0.72915267,0.2605054,0.18015243,0.81984757,0.44975496,0.35968904,0.0027943,0.05957051,0.02148127,582973,0.22915267,Black
23,17,17,748154,0.62308599,0.3713153,0.60694906,0.39305094,0.09719148,0.21224212,0.00119953,0.08019378,0.01399972,582726,0.12308599,White
24,18,18,748292,0.43699872,0.55738152,0.62740785,0.37259215,0.1232788,0.18417395,0.00147387,0.05442729,0.01698613,546858,-0.06300128,White
25,19,19,747877,0.52164724,0.47029068,0.79472795,0.20527205,0.06380099,0.07435494,0.00125814,0.04468448,0.0202221,609630,0.02164724,White
26,20,20,747817,0.50464788,0.48524362,0.76093731,0.23906269,0.08782349,0.09828774,0.00121255,0.03596581,0.01893563,606159,0.00464788,White
27,21,21,747897,0.56069734,0.42801667,0.77105457,0.22894543,0.09426176,0.04995763,0.00161981,0.05987791,0.01862528,600689,0.06069734,White
