,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority,DemPct_2,RepPct_2,Margin_2,Swing
0,1,717322,0.21426783,0.77504411,0.75599098,0.24400902,0.1536415,0.03938018,0.00151359,0.01839671,0.0302016,556295,-0.56077628,White,0.23396292,0.75344951,-0.5194865900000001,-0.041289689999999934
1,2,718179,0.55185128,0.43588529,0.42166737,0.57833263,0.51555668,0.02557651,0.00112164,0.02129503,0.01904463,560788,0.11596599000000007,Black,0.57667036,0.41228036,0.16439000000000004,-0.04842400999999996
2,3,717621,0.28897254,0.69925962,0.67450105,0.32549895,0.24556009,0.0372776,0.00136996,0.02206727,0.02075432,561329,-0.41028707999999997,White,0.31761537,0.66944585,-0.35183048,-0.05845659999999997
3,4,716922,0.13195802,0.85844796,0.85627992,0.14372008,0.04119157,0.06019057,0.00089543,0.00741437,0.03495245,553924,-0.72648994,White,0.14422201,0.84430759,-0.70008558,-0.026404360000000016
4,5,717587,0.36628743,0.61538155,0.69046204,0.30953796,0.20031177,0.05183969,0.00182758,0.02554525,0.03252637,561944,-0.24909412000000003,White,0.37934542,0.60035792,-0.2210125,-0.02808162000000003
5,6,718453,0.2605656,0.72433506,0.77838588,0.22161412,0.13999939,0.03626642,0.00085638,0.01989813,0.02327686,555831,-0.46376946,White,0.26333145,0.72139792,-0.45806647,-0.005702990000000019
6,7,718195,0.63442859,0.35083555,0.41255434,0.58744566,0.50920457,0.04770437,0.00114804,0.0190881,0.01482396,567055,0.28359303999999996,Black,0.65663852,0.32965144,0.32698708,-0.04339404000000002
7,1,752351,0.32996546,0.65233354,0.63318706,0.36681294,0.28645983,0.04398234,0.00136166,0.00862039,0.0265874,583848,-0.32236808,White,0.35115294,0.61902999,-0.26787705,-0.054491029999999996
8,2,752536,0.31577458,0.66244548,0.76628055,0.23371945,0.11851891,0.05920557,0.00128972,0.01863933,0.03490791,584624,-0.3466709,White,0.32932203,0.64483222,-0.31551018999999997,-0.031160710000000036
9,3,753678,0.36095477,0.61182937,0.71652272,0.28347728,0.03560114,0.13846376,0.01328295,0.04184748,0.05644109,566892,-0.25087460000000006,White,0.36666722,0.60331233,-0.23664510999999994,-0.014229490000000122
10,4,752959,0.33545292,0.64217846,0.74519552,0.25480448,0.16494456,0.04024205,0.00210432,0.01574945,0.02944139,576909,-0.30672554,White,0.34561712,0.62663392,-0.28101679999999996,-0.025708740000000063
11,1,793933,0.47155685,0.51742149,0.51993479,0.48006521,0.04082466,0.18865268,0.00495488,0.04356804,0.21326736,607280,-0.04586464000000001,White,0.50272765,0.48222546,0.020502189999999976,-0.06636682999999999
12,2,794183,0.52915191,0.45863472,0.64893402,0.35106598,0.04837139,0.22719988,0.00449358,0.04898288,0.03316197,642694,0.07051718999999995,White,0.53607501,0.44802661,0.08804840000000003,-0.017531210000000075
13,3,795276,0.54960877,0.440265,0.34484092,0.65515908,0.05138321,0.54186622,0.0039285,0.02658674,0.0554109,594883,0.10934376999999995,Hispanic,0.59799836,0.3874112,0.21058715999999994,-0.10124338999999999
14,4,794117,0.29661472,0.69577321,0.78603954,0.21396046,0.01754563,0.13551058,0.00355188,0.02278794,0.03495535,654864,-0.39915849000000003,White,0.31367839,0.67376771,-0.36008932000000005,-0.039069169999999986
15,5,795010,0.37366063,0.61612374,0.72944423,0.27055577,0.04070051,0.15735663,0.00526143,0.04535258,0.02744989,592425,-0.24246311000000004,White,0.38279009,0.60086607,-0.21807598,-0.024387130000000035
16,6,795255,0.50402022,0.4857304,0.70665945,0.29334055,0.0464878,0.15342755,0.00303872,0.06138839,0.0343205,645008,0.018289820000000012,White,0.52415625,0.46198395,0.062172300000000014,-0.04388248
17,7,794503,0.6537427,0.33311453,0.21244317,0.78755683,0.12166232,0.60581364,0.004597,0.04094887,0.04586396,556450,0.32062817,Hispanic,0.71499251,0.26888398,0.44610852999999995,-0.12548035999999996
18,8,794900,0.41323166,0.57752799,0.6829822,0.3170178,0.05530018,0.18870764,0.00414587,0.04888243,0.02785947,623271,-0.16429633,White,0.42397792,0.56208819,-0.13811026999999998,-0.02618606000000001
19,9,794325,0.58466989,0.40047739,0.53360017,0.46639983,0.0767492,0.27361818,0.00592224,0.07876327,0.05001752,625101,0.18419250000000004,White,0.60670227,0.373675,0.23302727,-0.04883476999999997
20,1,760069,0.56874352,0.3985946,0.63511145,0.36488855,0.02292648,0.24443565,0.00670254,0.05073943,0.05282883,596341,0.17014891999999993,White,0.60180579,0.372258,0.22954779000000003,-0.059398870000000104
21,3,760220,0.53888034,0.42767861,0.61429023,0.38570977,0.06597678,0.16444687,0.01084169,0.12421618,0.03469944,597877,0.11120172999999994,White,0.56405792,0.41151737,0.15254055,-0.041338820000000054
22,4,760406,0.58074892,0.3882525,0.55106571,0.44893429,0.03125778,0.26369842,0.00809552,0.12239715,0.04028067,594156,0.19249642,White,0.61535887,0.36082687,0.254532,-0.06203557999999998
23,5,759395,0.36932857,0.60610963,0.56753504,0.43246496,0.02922464,0.28988387,0.0084789,0.0769127,0.04513261,585807,-0.23678105999999993,White,0.40749157,0.57117639,-0.16368481999999995,-0.07309623999999998
24,6,759270,0.53516708,0.43104926,0.56557938,0.43442062,0.08699893,0.1778212,0.01283988,0.13971472,0.03549211,590582,0.10411782000000003,White,0.55087289,0.42200054,0.12887234999999997,-0.02475452999999994
25,7,760566,0.53269398,0.43541245,0.43883396,0.56116604,0.09921421,0.20424933,0.02022124,0.22520939,0.03727826,579292,0.09728153,Minority,0.57495013,0.40241806,0.17253206999999993,-0.07525053999999992
26,8,760418,0.57323866,0.39775494,0.39392586,0.60607414,0.14808047,0.26632489,0.01662183,0.17404869,0.03556841,591030,0.17548372,Minority,0.61705346,0.36006039,0.25699307000000005,-0.08150935000000004
27,9,759311,0.53406055,0.43396322,0.30482667,0.69517333,0.09364854,0.37098543,0.0133045,0.21816558,0.03733175,560863,0.10009732999999998,Hispanic,0.60939215,0.36831293,0.24107922000000004,-0.14098189000000005
28,10,760707,0.71758521,0.24959702,0.42579309,0.57420691,0.09769776,0.25685369,0.00951291,0.20269221,0.02890282,598765,0.46798818999999997,Minority,0.75583133,0.22349001,0.53234132,-0.06435313000000004
29,11,759871,0.81841547,0.14058104,0.44685009,0.55314991,0.06514956,0.13293645,0.00692056,0.34127543,0.01937757,664686,0.6778344300000001,Minority,0.86289892,0.11728119,0.74561773,-0.06778329999999988
30,12,759968,0.8461877,0.10554791,0.35225675,0.64774325,0.18111653,0.21208915,0.009324,0.24410707,0.03069398,620871,0.74063979,Minority,0.89392485,0.08531328,0.80861157,-0.06797177999999993
31,13,760437,0.53309835,0.4379656,0.28465788,0.71534212,0.03939923,0.56876419,0.00838224,0.09158973,0.05066416,552955,0.09513275000000004,Hispanic,0.6058623,0.37051902,0.23534328,-0.14021052999999994
32,14,759924,0.65870302,0.30118463,0.29061412,0.70938588,0.065605,0.20811208,0.01785538,0.41951524,0.02324217,586434,0.35751839,Asian,0.7190803,0.26087537,0.45820493,-0.10068653999999999
33,15,759290,0.72084993,0.2443829,0.34356301,0.65643699,0.0313412,0.20512892,0.01452035,0.4023618,0.01978818,613346,0.47646703,Asian,0.77159402,0.20928384,0.56231018,-0.08584314999999998
34,16,759868,0.74043615,0.2189439,0.36917823,0.63082177,0.02931583,0.16543004,0.0095837,0.4203485,0.0166836,600290,0.52149225,Asian,0.78312179,0.19533839,0.5877834000000001,-0.06629115000000008
35,17,759365,0.62604508,0.33505867,0.1421165,0.8578835,0.02953,0.23353535,0.0091392,0.58877961,0.02244448,596004,0.29098641000000003,Asian,0.69596902,0.28716325,0.40880577000000007,-0.11781936000000004
36,18,760512,0.71247891,0.24878078,0.45981104,0.54018896,0.03802968,0.25303123,0.00754264,0.23273071,0.02914532,606684,0.46369812999999993,Minority,0.74591868,0.22973114,0.51618754,-0.05248941000000007
37,19,759410,0.60507816,0.36532649,0.29267841,0.70732159,0.03357726,0.59516002,0.00763905,0.06557157,0.04535261,572977,0.23975167000000003,Hispanic,0.67011839,0.30745232,0.36266606999999995,-0.12291439999999992
38,20,760270,0.33117237,0.64659725,0.46473412,0.53526588,0.04489671,0.39005426,0.00454553,0.07477832,0.04276806,558571,-0.31542488,Minority,0.36896883,0.60958702,-0.24061818999999995,-0.07480669000000006
39,21,760586,0.53546854,0.43730682,0.22102642,0.77897358,0.06229354,0.59494401,0.00398256,0.11184848,0.04318285,537343,0.09816172000000001,Hispanic,0.61037914,0.36814693,0.24223221000000006,-0.14407049000000005
40,22,759472,0.52921004,0.44141545,0.38945388,0.61054612,0.05065455,0.48871648,0.00372089,0.0547058,0.03686117,575131,0.08779459000000006,Hispanic,0.57795185,0.39755021,0.18040164000000003,-0.09260704999999997
41,23,759359,0.35556624,0.61929833,0.52626543,0.47373457,0.06016531,0.31846097,0.00688446,0.06413599,0.04586536,580002,-0.26373209000000003,White,0.38182009,0.59505249,-0.21323240000000004,-0.050499689999999986
42,24,759968,0.59106046,0.37827846,0.48388201,0.51611799,0.02429023,0.39536811,0.00460706,0.07904141,0.03924891,596042,0.21278200000000003,Minority,0.6223133,0.35513632,0.26717697999999995,-0.054394979999999926
43,25,759987,0.54629699,0.42875953,0.176117,0.823883,0.06076073,0.6246872,0.00887844,0.13876586,0.03373635,583436,0.11753745999999998,Hispanic,0.63190273,0.34732214,0.28458058999999997,-0.16704312999999998
44,26,760824,0.58147492,0.39066825,0.53585878,0.46414122,0.03100418,0.31029908,0.00490336,0.10873659,0.02871225,594694,0.19080667,White,0.62075804,0.35953703,0.26122101000000003,-0.07041434000000002
45,27,760354,0.53595915,0.43450358,0.22393104,0.77606896,0.14321961,0.56615904,0.00527696,0.05961436,0.04416695,558087,0.10145557000000005,Hispanic,0.61017042,0.36554076,0.24462965999999997,-0.14317408999999992
46,28,759425,0.60912986,0.35772956,0.22347966,0.77652034,0.03206587,0.30427917,0.00339445,0.43932344,0.02432471,617479,0.2514003,Asian,0.65915444,0.32078245,0.33837199,-0.08697168999999999
47,29,760082,0.64900774,0.31886658,0.31591421,0.68408579,0.06202472,0.49677233,0.00332371,0.12095957,0.03260073,598729,0.33014116000000004,Hispanic,0.71839476,0.25999542,0.45839934000000004,-0.12825818
48,30,760805,0.67646538,0.29404009,0.63850585,0.36149415,0.04959481,0.14827399,0.00342235,0.15140422,0.01633071,650431,0.38242529000000003,White,0.71421179,0.26887165,0.44534014,-0.06291484999999997
49,31,759880,0.54537615,0.42220869,0.23108351,0.76891649,0.01988775,0.61010013,0.00375074,0.13433115,0.03817727,588151,0.12316745999999995,Hispanic,0.61288424,0.36529876,0.24758547999999997,-0.12441802000000002
50,32,760365,0.54887798,0.42057801,0.42245186,0.57754814,0.05904692,0.33361046,0.00459246,0.17676831,0.0265372,601420,0.12829996999999999,Minority,0.60133548,0.3786433,0.22269218000000002,-0.09439221000000003
51,33,760453,0.54560087,0.42521544,0.18900219,0.81099781,0.11432129,0.61098479,0.00575122,0.08108641,0.03980668,553274,0.12038543000000002,Hispanic,0.63432575,0.3418271,0.29249865,-0.17211322
52,34,760747,0.75316502,0.20395516,0.20099008,0.79900992,0.04183878,0.63833517,0.00306673,0.11695726,0.03967588,605204,0.5492098599999999,Hispanic,0.82537058,0.15293043,0.6724401499999999,-0.12323028999999996
53,35,759961,0.52348014,0.44651948,0.26353991,0.73646009,0.07556874,0.51818003,0.00555874,0.13752533,0.03688499,584845,0.07696065999999996,Hispanic,0.59175451,0.38678535,0.20496915999999998,-0.12800850000000003
54,36,760429,0.68499284,0.28147874,0.55632016,0.44367984,0.05136787,0.1601483,0.00625268,0.21601118,0.01925025,629810,0.40351410000000004,White,0.71347997,0.26515797,0.44832199999999994,-0.0448078999999999
55,37,760605,0.72651021,0.23377008,0.09606051,0.90393949,0.13455032,0.59414014,0.00300294,0.17580924,0.04364108,594417,0.49274013000000005,Hispanic,0.81747375,0.160176,0.65729775,-0.16455761999999996
56,38,760086,0.54603808,0.4233721,0.13710551,0.86289449,0.03529739,0.48803654,0.00425276,0.33954899,0.02962374,604549,0.12266598000000001,Hispanic,0.62593967,0.35561309,0.2703265799999999,-0.14766059999999992
57,39,759579,0.53721003,0.43212504,0.21052256,0.78947744,0.09442125,0.6164352,0.0064958,0.07164488,0.03906409,560054,0.10508498999999999,Hispanic,0.62888571,0.34889867,0.27998704,-0.17490205000000003
58,40,760845,0.42251643,0.54851641,0.39824529,0.60175471,0.07769387,0.37367799,0.00866626,0.13701591,0.03304364,568642,-0.12599997999999996,Minority,0.46505826,0.51569635,-0.050638090000000024,-0.07536188999999993
59,41,759405,0.54315759,0.43564628,0.41269888,0.58730112,0.06312569,0.45705937,0.00440707,0.05214403,0.03777218,583154,0.10751130999999997,Hispanic,0.57595365,0.40669908,0.16925457,-0.06174326000000002
60,42,760838,0.54021158,0.42831204,0.18604722,0.81395278,0.03633579,0.53705173,0.00731646,0.23363716,0.03516394,592226,0.11189954000000002,Hispanic,0.60985679,0.36880354,0.24105325000000005,-0.12915371000000003
61,43,759264,0.78864951,0.18092268,0.13099486,0.86900514,0.34114808,0.42746211,0.00604183,0.10018119,0.03456102,598825,0.60772683,Hispanic,0.8473994,0.1339975,0.7134019,-0.10567506999999998
62,44,759574,0.67612962,0.29311085,0.08709321,0.91290679,0.16115587,0.65377324,0.00956986,0.09592962,0.03896386,571273,0.38301877,Hispanic,0.76946821,0.20696441,0.5625038,-0.17948503
63,45,759523,0.54034893,0.43072668,0.24376206,0.75623794,0.07387506,0.32487869,0.01098467,0.34771426,0.02705787,596832,0.10962224999999998,Asian,0.57551047,0.40430626,0.17120421000000002,-0.06158196000000005
64,46,760674,0.53246411,0.43530368,0.27874754,0.72125246,0.02220485,0.53616754,0.00564698,0.15509195,0.03997011,584737,0.09716043000000002,Hispanic,0.58478455,0.39345216,0.19133238999999996,-0.09417195999999994
65,47,760423,0.53654074,0.43211999,0.49325593,0.50674407,0.06739881,0.26896307,0.00919852,0.15384615,0.02755523,620100,0.10442074999999995,Minority,0.57509055,0.40196269,0.17312785999999997,-0.06870711000000002
66,48,759962,0.55058327,0.41934428,0.53477376,0.46522624,0.05196081,0.26239154,0.00792564,0.12777599,0.0347614,606765,0.13123898999999994,White,0.57180417,0.40468255,0.16712161999999997,-0.035882630000000026
67,49,759468,0.52975939,0.43333379,0.50911754,0.49088246,0.02662358,0.15616315,0.00491421,0.29505557,0.01625024,605591,0.09642560000000006,White,0.56511241,0.41483234,0.15028007,-0.05385446999999993
68,50,760079,0.54940831,0.42086994,0.60531023,0.39468977,0.03734579,0.2167012,0.00901889,0.1178412,0.02540325,621141,0.12853837,White,0.5754875,0.40062033,0.17486717000000002,-0.0463288
69,51,760536,0.56398688,0.40564615,0.52277656,0.47722344,0.03276158,0.22138429,0.00861457,0.20645658,0.02429011,587029,0.15834072999999999,White,0.58115596,0.39614345,0.18501251000000002,-0.026671780000000034
70,52,760092,0.54107048,0.4314065,0.45498233,0.54501767,0.09752812,0.31136034,0.01080769,0.12152435,0.030912,590968,0.10966398,Minority,0.57804032,0.39937572,0.17866460000000006,-0.06900062000000007
71,1,721689,0.76745686,0.20460447,0.58791082,0.41208918,0.09704478,0.24424493,0.00358642,0.05219916,0.03341135,586657,0.56285239,White,0.79613935,0.18110119,0.61503816,-0.05218577000000002
72,2,721072,0.68276248,0.28857468,0.78657968,0.21342032,0.01619734,0.12369672,0.00248284,0.04608871,0.02348376,586022,0.3941878,White,0.68417977,0.29011126,0.39406851,0.00011928999999999412
73,3,721807,0.43879986,0.53611505,0.70164356,0.29835644,0.01487227,0.22727305,0.00257631,0.01433415,0.04850855,568642,-0.09731519000000005,White,0.44670592,0.52963907,-0.08293315000000001,-0.01438204000000004
74,4,722069,0.35134212,0.62360616,0.72969143,0.27030857,0.02224892,0.19250656,0.00284916,0.02586204,0.03230033,541914,-0.27226404000000004,White,0.34819613,0.62450832,-0.27631219,0.004048149999999973
75,5,721519,0.45243919,0.51931244,0.69728532,0.30271468,0.07410767,0.15534264,0.00715742,0.04189927,0.03668179,564449,-0.06687325,White,0.44327923,0.52011458,-0.07683534999999997,0.009962099999999974
76,6,722098,0.50896788,0.46451733,0.75832113,0.24167887,0.0418194,0.10044252,0.00317581,0.0760653,0.02349291,545058,0.04445055000000003,White,0.51554441,0.45912951,0.056414899999999935,-0.011964349999999901
