State,Base,WR,CR,2CR,GC,HWR,200K,1776,100K,WR,CR,2CR,GC,HWR,200K,1776,100K
AK,1,1,2,2,2,3,4,4,7,0,1,0,0,1,1,0,3
AL,7,9,11,13,15,17,25,27,50,2,2,2,2,2,8,2,23
AR,4,5,6,8,9,10,15,16,30,1,1,2,1,1,5,1,14
AZ,9,12,15,19,22,25,36,38,72,3,3,4,3,3,11,2,34
CA,52,69,83,104,120,137,198,212,395,17,14,21,16,17,61,14,183
CO,8,10,12,15,17,20,29,31,58,2,2,3,2,3,9,2,27
CT,5,6,8,10,11,13,18,19,36,1,2,2,1,2,5,1,17
DE,1,2,2,3,3,3,5,5,10,1,0,1,0,0,2,0,5
FL,28,37,45,57,65,75,108,116,215,9,8,12,8,10,33,8,99
GA,14,19,22,28,32,37,54,58,107,5,3,6,4,5,17,4,49
HI,2,3,3,4,4,5,7,8,15,1,0,1,0,1,2,1,7
IA,4,6,7,8,10,11,16,17,32,2,1,1,2,1,5,1,15
ID,2,3,4,5,6,6,9,10,18,1,1,1,1,0,3,1,8
IL,17,22,27,34,39,44,64,69,128,5,5,7,5,5,20,5,59
IN,9,12,14,18,21,24,34,36,68,3,2,4,3,3,10,2,32
KS,4,5,6,8,9,10,15,16,29,1,1,2,1,1,5,1,13
KY,6,8,9,12,14,16,23,24,45,2,1,3,2,2,7,1,21
LA,6,8,10,12,14,16,23,25,47,2,2,2,2,2,7,2,22
MA,9,12,15,18,21,24,35,38,70,3,3,3,3,3,11,3,32
MD,8,11,13,16,19,21,31,33,62,3,2,3,3,2,10,2,29
ME,2,2,3,4,4,5,7,7,14,0,1,1,0,1,2,0,7
MI,13,17,21,27,30,35,50,54,101,4,4,6,3,5,15,4,47
MN,8,10,12,15,17,20,29,31,57,2,2,3,2,3,9,2,26
MO,8,11,13,16,19,21,31,33,62,3,2,3,3,2,10,2,29
MS,4,5,6,8,9,10,15,16,30,1,1,2,1,1,5,1,14
MT,2,2,2,3,3,4,5,6,11,0,0,1,0,1,1,1,5
NC,14,18,22,27,32,36,52,56,104,4,4,5,5,4,16,4,48
ND,1,1,2,2,2,3,4,4,8,0,1,0,0,1,1,0,4
NE,3,3,4,5,6,7,10,11,20,0,1,1,1,1,3,1,9
NH,2,2,3,4,4,5,7,7,14,0,1,1,0,1,2,0,7
NJ,12,16,19,24,28,32,46,50,93,4,3,5,4,4,14,4,43
NM,3,4,4,6,6,7,11,11,21,1,0,2,0,1,4,0,10
NV,4,5,7,8,9,11,16,17,31,1,2,1,1,2,5,1,14
NY,26,35,42,53,61,70,101,108,202,9,7,11,8,9,31,7,94
OH,15,20,25,31,36,41,59,63,118,5,5,6,5,5,18,4,55
OK,5,7,8,10,12,14,20,21,40,2,1,2,2,2,6,1,19
OR,6,7,9,11,13,15,21,23,42,1,2,2,2,2,6,2,19
PA,17,23,27,34,39,45,65,70,130,6,4,7,5,6,20,5,60
RI,2,2,2,3,3,4,5,6,11,0,0,1,0,1,1,1,5
SC,7,9,11,13,16,18,26,28,51,2,2,2,3,2,8,2,23
SD,1,2,2,2,3,3,4,5,9,1,0,0,1,0,1,1,4
TN,9,12,14,18,21,24,35,37,69,3,2,4,3,3,11,2,32
UT,4,6,7,9,10,11,16,18,33,2,1,2,1,1,5,2,15
TX,38,51,61,77,88,101,146,157,291,13,10,16,11,13,45,11,134
VA,11,15,18,23,26,30,43,46,86,4,3,5,3,4,13,3,40
VT,1,1,1,2,2,2,3,3,6,0,0,1,0,0,1,0,3
WA,10,13,16,20,23,27,39,41,77,3,3,4,3,4,12,2,36
WI,8,10,12,16,18,20,29,32,59,2,2,4,2,2,9,3,27
WV,2,3,4,5,5,6,9,10,18,1,1,1,0,1,3,1,8
WY,1,1,1,2,2,2,3,3,6,0,0,1,0,0,1,0,3
Total,435,573,692,872,1000,1146,1656,1776,3308,138,119,180,128,146,510,120,1532
