fid,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin
"1","1","493427","0.33266086","0.65180543","0.65264291","0.34735709","0.30211613","0.02428073","0.00043656","0.00998799","0.01087169","377954","-0.31914457"
"2","2","492927","0.68316754","0.30518543","0.27160285","0.72839715","0.70482707","0.01292689","6.767e-05","0.00429957","0.00785199","354687","0.37798211000000004"
"3","3","493816","0.34843111","0.64179284","0.62318907","0.37681093","0.34145782","0.01734441","0.0007561","0.0097267","0.00797956","370321","-0.29336173000000004"
"4","4","494417","0.31943645","0.6689332","0.68498118","0.31501882","0.23064765","0.04344103","0.00067133","0.02205354","0.01531642","378352","-0.34949675"
"5","5","493175","0.32313957","0.66765428","0.63612561","0.36387439","0.32036461","0.01539315","0.0007303","0.00603987","0.02304238","369710","-0.34451471000000006"
"6","6","493517","0.31473618","0.67645192","0.63638986","0.36361014","0.32831057","0.01604428","0.00032622","0.00697202","0.01288719","370911","-0.36171574"
"7","1","493042","0.2198913","0.76938304","0.90555201","0.09444799","0.03035632","0.02514372","0.00079404","0.01081846","0.02367587","399225","-0.54949174"
"8","2","494611","0.20396602","0.78568316","0.89169344","0.10830656","0.02305533","0.04331654","0.00079108","0.01052741","0.02768263","394399","-0.5817171400000001"
"9","3","493204","0.40643891","0.5774375","0.80140522","0.19859478","0.09079351","0.04926483","0.00137908","0.03105487","0.02519763","390116","-0.17099859000000006"
"10","4","493741","0.36803553","0.61719876","0.74708062","0.25291938","0.14399263","0.05820788","0.00127811","0.0234551","0.02726377","389638","-0.24916322999999996"
"11","5","493240","0.19773161","0.79262643","0.88591339","0.11408661","0.03327526","0.0412973","0.00087878","0.00846656","0.02692598","389178","-0.5948948199999999"
"12","6","494141","0.35334397","0.63277056","0.71953477","0.28046523","0.1383886","0.08101589","0.00152034","0.03772647","0.02307372","372285","-0.27942659"
"13","7","494200","0.35385867","0.63109756","0.82653591","0.17346409","0.06879209","0.04977678","0.00125734","0.03052477","0.02180995","392894","-0.27723888999999996"
"14","8","492928","0.68603119","0.29364801","0.51122565","0.48877435","0.30257145","0.13003655","0.0014588","0.04159868","0.02144996","393474","0.39238318"
"15","9","493368","0.17745142","0.813881","0.90191496","0.09808504","0.02576067","0.03643947","0.00133872","0.0084476","0.02512097","387684","-0.6364295799999999"
"16","10","494286","0.32042047","0.66685631","0.73362959","0.26637041","0.14053212","0.07314482","0.00380591","0.02571692","0.02626294","369951","-0.34643584"
"17","11","493122","0.2808761","0.70557469","0.83269588","0.16730412","0.06609653","0.04568803","0.00106529","0.0312511","0.02042476","368915","-0.42469858999999993"
"18","12","493569","0.26521183","0.7258084","0.72527194","0.27472806","0.21702","0.02895477","0.00104877","0.00829198","0.01899406","387121","-0.46059657000000004"
"19","13","493941","0.42402461","0.55960472","0.62794998","0.37205002","0.23351007","0.06906919","0.00144775","0.05028281","0.01931739","378519","-0.13558011000000003"
"20","14","493447","0.85142561","0.13002178","0.15118009","0.84881991","0.76180492","0.06560686","0.00088931","0.01725532","0.01214044","371074","0.7214038300000001"
"21","1","466956","0.23458541","0.74224681","0.83045673","0.16954327","0.00840395","0.09873425","0.01116888","0.01544362","0.0379936","329845","-0.5076614"
"22","2","468105","0.37385105","0.5988127","0.65291653","0.34708347","0.02019738","0.23785134","0.02697317","0.04161627","0.03039584","330736","-0.22496164999999996"
"23","3","467035","0.68674327","0.28593362","0.72567719","0.27432281","0.03018769","0.14597053","0.01508711","0.06217872","0.02368059","370979","0.40080965"
"24","4","467151","0.34025477","0.62886767","0.82752843","0.17247157","0.01636521","0.09762334","0.01108165","0.03192721","0.01907914","318725","-0.2886129"
"25","5","467393","0.30645029","0.66291622","0.80345736","0.19654264","0.01466368","0.13046123","0.00586366","0.02146095","0.02927314","332045","-0.35646592999999993"
"26","6","466871","0.32509255","0.64251846","0.7899005","0.2100995","0.01353711","0.12518018","0.01819373","0.03888034","0.01915675","328135","-0.31742591000000003"
"27","7","468105","0.38431506","0.58693768","0.79465282","0.20534718","0.0149911","0.1138922","0.0154535","0.04558877","0.01695548","313586","-0.20262262000000003"
"78","1","480638","0.46065198","0.52631558","0.77186516","0.22813484","0.06007473","0.1149303","0.00017872","0.0465228","0.00588097","358104","-0.03934802"
"79","2","481405","0.42280442","0.56756101","0.69016493","0.30983507","0.08320719","0.18752744","0.0001245","0.03399582","0.00550106","305214","-0.07719558"
"80","3","480651","0.45553478","0.52780968","0.73387936","0.26612064","0.08620546","0.12143489","0.00031712","0.05316705","0.00394385","346869","-0.04446522"
"81","4","481026","0.39434697","0.595894","0.80036436","0.19963564","0.0338776","0.11045422","0.00026848","0.05201085","0.00261629","365020","-0.10565303"
"82","5","481506","0.47021485","0.51471275","0.66305492","0.33694508","0.03931182","0.10721753","0.00034896","0.18519311","0.00348956","341017","-0.02978515"
"83","6","481469","0.57416261","0.41229669","0.40965254","0.59034746","0.29178933","0.20450753","0.00047812","0.08622634","0.00549383","332555","0.07416261"
"84","7","481183","0.70721743","0.283766","0.2049868","0.7950132","0.60581833","0.12675914","0.00043562","0.05232463","0.00645427","337451","0.20721743"
"85","8","480867","0.5168971","0.46392169","0.32934615","0.67065385","0.07341867","0.14836003","0.00134609","0.43645378","0.00717694","300128","0.0168971"
"86","9","480967","0.57968574","0.39696347","0.28112026","0.71887974","0.15724405","0.22042306","0.00132143","0.3214733","0.0116891","304215","0.07968574"
"87","10","480644","0.58040599","0.39474201","0.41668495","0.58331505","0.03709281","0.27266846","0.00060913","0.26383792","0.00731717","264310","0.08040599"
"88","11","481285","0.72405867","0.24910239","0.39047087","0.60952913","0.14295641","0.34980616","0.0003182","0.10854855","0.00503601","307982","0.22405867"
"89","12","480798","0.6729141","0.31799938","0.27763921","0.72236079","0.50750553","0.14292261","0.00045825","0.06638124","0.00415374","305508","0.1729141"
"90","13","480803","0.67899591","0.30548322","0.31296059","0.68703941","0.50372853","0.09012125","0.00066689","0.08743011","0.00537555","296900","0.17899591"
"91","14","481101","0.87244986","0.10010562","0.28658479","0.71341521","0.51231763","0.14389945","0.00040183","0.04732738","0.00688283","348403","0.37244986"
"92","15","480560","0.44778235","0.52600823","0.45394216","0.54605784","0.0394638","0.17455822","0.00050214","0.32444755","0.00545921","248937","-0.05221765"
"93","16","480968","0.71221887","0.2627168","0.65587684","0.34412316","0.08152571","0.13616237","0.00022698","0.1199546","0.00490806","303990","0.21221887"
"94","17","480968","0.34419025","0.64075197","0.62465724","0.37534276","0.09544598","0.16429943","4.404e-05","0.11165163","0.00353471","340622","-0.15580975"
"95","18","480557","0.64630848","0.33178086","0.31894202","0.68105798","0.13934994","0.37838137","0.00132149","0.1544719","0.00432847","252745","0.14630848"
"96","19","481021","0.80738105","0.17205721","0.58898224","0.41101776","0.07275019","0.15066751","0.00032895","0.18114335","0.004451","343518","0.30738105"
"97","20","481461","0.78876732","0.1908662","0.72960413","0.27039587","0.04951926","0.09698134","0.0007593","0.11628167","0.00454697","339787","0.28876732"
"98","21","480469","0.85516415","0.12634419","0.33994571","0.66005429","0.31217374","0.26883021","9.173e-05","0.07254595","0.00675379","348841","0.35516415"
"99","22","480849","0.70640825","0.27856693","0.22430227","0.77569773","0.16058983","0.56679212","0.00050549","0.04071267","0.00538727","288829","0.20640825"
"100","23","480879","0.66345229","0.32177734","0.14707551","0.85292449","0.25629395","0.50802361","0.00062384","0.08138867","0.00697506","283725","0.16345229"
"101","24","481246","0.73139435","0.26035614","0.04715217","0.95284783","0.35300221","0.58007144","0.00183812","0.01062306","0.00722325","278545","0.23139435"
"102","25","481153","0.71067255","0.28224442","0.23368766","0.76631234","0.42843515","0.28886638","0.00026101","0.04191693","0.00657807","321827","0.21067255"
"103","26","480590","0.64000137","0.35455723","0.64301377","0.35698623","0.10035115","0.17756458","0.0003085","0.07387737","0.00414967","330629","0.14000137"
"104","27","481257","0.52036503","0.47212166","0.74281907","0.25718093","0.06566899","0.14969306","0.00016236","0.0368669","0.00400581","357231","0.02036503"
"105","28","481472","0.42137589","0.57142062","0.69138817","0.30861183","0.1028446","0.14379389","0.0001658","0.0575","0.00374837","307600","-0.07862411"
"106","29","481203","0.51201776","0.48310335","0.68977865","0.31022135","0.11339573","0.16297474","0.00029034","0.02473697","0.00712854","361645","0.01201776"
"107","30","480994","0.53856942","0.45074095","0.81479481","0.18520519","0.08538853","0.0671354","0.00041359","0.02593215","0.00517642","379606","0.03856942"
"108","31","481205","0.5884912","0.39634862","0.75228903","0.24771097","0.11978253","0.07029339","0.00076368","0.04985892","0.00722682","373193","0.0884912"
"109","32","481545","0.35202913","0.64335747","0.9338617","0.0661383","0.02090173","0.0282396","0.00061917","0.00950893","0.00651055","379538","-0.14797087"
"110","33","481092","0.49068931","0.50379665","0.92527445","0.07472555","0.02368642","0.02721219","0.00043714","0.01740769","0.00574271","384313","-0.00931069"
"111","34","480555","0.38930253","0.60539533","0.90638715","0.09361285","0.03456128","0.03200761","0.0006967","0.00999509","0.01482863","368881","-0.11069747"
"112","35","480411","0.56305653","0.43042323","0.78075743","0.21924257","0.1169007","0.05408326","0.00030156","0.03758939","0.00903854","358133","0.06305653"
"113","36","481441","0.56811215","0.42364217","0.86035787","0.13964213","0.04641324","0.04382981","0.00021462","0.04007404","0.00827342","372760","0.06811215"
"114","37","480895","0.36269969","0.63113998","0.91672247","0.08327753","0.02954042","0.03309121","0.00022142","0.00996112","0.01065237","370340","-0.13730031"
"115","38","481574","0.44866767","0.54259745","0.90705226","0.09294774","0.03695519","0.03613544","0.00020958","0.01380845","0.00531645","376943","-0.05133233"
"116","39","480639","0.41033296","0.58234797","0.87168936","0.12831064","0.06367627","0.03978556","0.00013187","0.01418318","0.01001434","371567","-0.08966704"
"117","40","480185","0.43085232","0.55779763","0.90725045","0.09274955","0.04340935","0.02884991","0.00055379","0.01274512","0.00734961","379204","-0.06914768"
"118","41","481037","0.67619513","0.31090079","0.67718526","0.32281474","0.18189761","0.09700168","0.000172","0.03771241","0.00679277","366272","0.17619513"
"119","42","480680","0.66721835","0.31551243","0.65446852","0.34553148","0.21092273","0.07619164","0.00014458","0.049876","0.00870237","359672","0.16721835"
"120","1","473647","0.65462973","0.32554735","0.61565501","0.38434499","0.27886724","0.03825549","0.00106417","0.04763528","0.0180987","384337","0.15462973"
"121","2","472971","0.75082424","0.23291719","0.42231607","0.57768393","0.47492746","0.03618189","0.00106593","0.0505883","0.01724255","367753","0.25082424"
"122","3","473588","0.52150356","0.45918652","0.83811212","0.16188788","0.04841569","0.03142244","0.00095782","0.05966202","0.01608655","371677","0.02150356"
