,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
0,1,367244,0.50398274,0.45992697,0.59584787,0.40415213,0.05667178,0.07256861,0.0307855,0.1080234,0.15070853,282698,0.04405577,White
1,2,366147,0.34874692,0.60966986,0.63447043,0.36552957,0.02817493,0.0476438,0.00914469,0.0474337,0.23269752,271305,-0.26092294,White
2,1,456819,0.24235122,0.74379322,0.78096747,0.21903253,0.12351094,0.03870443,0.00125911,0.02250701,0.02954571,356600,-0.501442,White
3,2,457134,0.29748891,0.69140996,0.65422706,0.34577294,0.26858045,0.0378546,0.00189781,0.01445491,0.02637471,354620,-0.39392105,White
4,3,456354,0.61197643,0.37517113,0.40366211,0.59633789,0.51383462,0.03367799,0.00119841,0.03890081,0.013882,358810,0.2368053,Black
5,4,456871,0.58917609,0.40037944,0.43710734,0.56289266,0.50291036,0.02975187,0.00104617,0.01362248,0.01952666,359406,0.18879665,Black
6,5,457143,0.28855243,0.70051884,0.70240466,0.29759534,0.23665154,0.02740929,0.0010405,0.01192793,0.02067546,356558,-0.41196641,White
7,6,455823,0.20421266,0.78388025,0.78878042,0.21121958,0.10398094,0.06325973,0.00116588,0.00910123,0.03722921,354238,-0.57966759,White
8,7,455829,0.16178775,0.82641985,0.84755545,0.15244455,0.07504779,0.03810901,0.00086631,0.00906356,0.0269521,352069,-0.6646321,White
9,8,457431,0.2209788,0.76615111,0.80758344,0.19241656,0.1015666,0.04879574,0.00083746,0.00786092,0.03345635,358228,-0.54517231,White
10,9,456864,0.43137229,0.54491195,0.64624264,0.35375736,0.23630355,0.0535917,0.00230131,0.03483643,0.03067108,356753,-0.11353966,White
11,10,456797,0.72783506,0.25595287,0.3616454,0.6383546,0.5540493,0.05114039,0.00118645,0.0220541,0.01516708,358210,0.47188219,Black
12,11,457214,0.27085973,0.712515,0.78043017,0.21956983,0.12277848,0.04645211,0.00092984,0.02585065,0.02222797,351674,-0.44165527,White
13,1,501438,0.24319555,0.72759405,0.80667052,0.19332948,0.11074228,0.03666158,0.00237256,0.01161029,0.02778684,380180,-0.4843985,White
14,2,501799,0.62526423,0.34618363,0.44361326,0.55638674,0.46091607,0.05865488,0.00117207,0.02130329,0.02108691,388203,0.2790806,Black
