,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct2,RepPct2,Margin2,Swing,R_Margin,R_Margin2,R_Swing,Majority,PopDensity
0,1,733391,0.41406128,0.54544809,0.61476201,0.38523799,0.04271638,0.06036249,0.02018762,0.07835156,0.19085998,554003,-0.13138681,0.43006525,0.53122894,-0.10116369,-0.03022312,-0.12955175310344835,-0.1531227516321839,0.02357099852873553,White,2557.8759291532383
1,1,717322,0.21426783,0.77504411,0.75599098,0.24400902,0.1536415,0.03938018,0.00151359,0.01839671,0.0302016,556295,-0.56077628,0.23396292,0.75344951,-0.51948659,-0.04128969,-0.5589412231034483,-0.571445651632184,0.012504428528735699,White,395910.13861853484
2,2,718179,0.55185128,0.43588529,0.42166737,0.57833263,0.51555668,0.02557651,0.00112164,0.02129503,0.01904463,560788,0.11596599,0.57667036,0.41228036,0.16439,-0.04842401,0.1178010468965518,0.11243093836781612,0.005370108528735672,Black,244669.383064285
3,3,717621,0.28897254,0.69925962,0.67450105,0.32549895,0.24556009,0.0372776,0.00136996,0.02206727,0.02075432,561329,-0.41028708,0.31761537,0.66944585,-0.35183048,-0.0584566,-0.40845202310344825,-0.4037895416321839,-0.004662481471264336,White,310105.4253460071
4,4,716922,0.13195802,0.85844796,0.85627992,0.14372008,0.04119157,0.06019057,0.00089543,0.00741437,0.03495245,553924,-0.72648994,0.14422201,0.84430759,-0.70008558,-0.02640436,-0.7246548831034483,-0.7520446416321839,0.027389758528735618,White,285464.1624250673
5,5,717587,0.36628743,0.61538155,0.69046204,0.30953796,0.20031177,0.05183969,0.00182758,0.02554525,0.03252637,561944,-0.24909412,0.37934542,0.60035792,-0.2210125,-0.02808162,-0.2472590631034483,-0.2729715616321839,0.025712498528735604,White,798562.5183775722
6,6,718453,0.2605656,0.72433506,0.77838588,0.22161412,0.13999939,0.03626642,0.00085638,0.01989813,0.02327686,555831,-0.46376946,0.26333145,0.72139792,-0.45806647,-0.00570299,-0.4619344031034483,-0.5100255316321839,0.048091128528735615,White,793219.2918507825
7,7,718195,0.63442859,0.35083555,0.41255434,0.58744566,0.50920457,0.04770437,0.00114804,0.0190881,0.01482396,567055,0.28359304,0.65663852,0.32965144,0.32698708,-0.04339404,0.2854280968965517,0.2750280183678161,0.010400078528735611,Black,476912.2779012479
8,1,752941,0.20606999,0.77410607,0.86029892,0.13970108,0.05821438,0.03066344,0.00196534,0.00994383,0.03349863,580561,-0.56803608,0.21491113,0.75771436,-0.54280323,-0.02523285,-0.5662010231034482,-0.594762291632184,0.02856126852873577,White,165958.35051949753
9,2,753677,0.5373771,0.43952579,0.5279442,0.4720558,0.37701814,0.053266,0.00119308,0.02168778,0.02293221,584200,0.09785131,0.54537488,0.42618241,0.11919247,-0.02134116,0.09968636689655175,0.06723340836781608,0.03245295852873566,White,296373.1736324655
10,3,752341,0.36260378,0.61016521,0.71594457,0.28405543,0.03564901,0.13905535,0.01354404,0.04181294,0.05626204,565710,-0.24756143,0.36864319,0.60136502,-0.23272183,-0.0148396,-0.2457263731034483,-0.2846808916321839,0.038954518528735625,White,690348.0976938858
11,4,752565,0.25870839,0.72176197,0.75777326,0.24222674,0.13348184,0.05915586,0.00136301,0.01141626,0.03478675,581802,-0.46305358,0.26976574,0.70281041,-0.43304467,-0.03000891,-0.46121852310344824,-0.4850037316321839,0.02378520852873569,White,138832.0899089058
