id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
AK-1,183592,0.54455717,0.41961827,0.51953866,0.48046134,0.08111356,0.08178828,0.04888883,0.13323541,0.15659746,142282,0.1249389,White
AK-2,183723,0.38253349,0.5828915,0.72337181,0.27662819,0.03035857,0.06010855,0.01009566,0.0732329,0.10282535,139664,-0.20035801,White
AK-3,182905,0.2913384,0.66745902,0.73609693,0.26390307,0.03865785,0.05505748,0.00937967,0.03823621,0.12059681,135186,-0.37612062,White
AK-4,183171,0.52137415,0.43452085,0.48308261,0.51691739,0.01941975,0.04358849,0.01132453,0.06614257,0.38570625,136871,0.0868533,Minority
AL-1,185638,0.67420198,0.31215037,0.37131851,0.62868149,0.57183681,0.02702854,0.00115566,0.01659954,0.01684469,142775,0.36205161,Black
AL-2,186035,0.25983063,0.72633703,0.73819865,0.26180135,0.16043015,0.0338484,0.00134336,0.03563722,0.02849586,143670,-0.4665064,White
AL-3,185976,0.22318502,0.76259229,0.83762937,0.16237063,0.06605711,0.04965467,0.00117935,0.0118206,0.02785704,147539,-0.53940727,White
AL-4,186180,0.21697596,0.77306033,0.75427046,0.24572954,0.17119378,0.01936219,0.00095942,0.0090241,0.04464081,143837,-0.55608437,White
AL-5,185647,0.22580805,0.76063284,0.72379648,0.27620352,0.17695194,0.05155799,0.00251571,0.02070566,0.02861615,143101,-0.53482479,White
AL-6,186238,0.55082241,0.43806059,0.4056323,0.5943677,0.51537016,0.03035624,0.0011111,0.03879233,0.0132097,145802,0.11276182,Black
AL-7,186384,0.57304992,0.41512774,0.42848716,0.57151284,0.51066588,0.03296477,0.00116604,0.0168322,0.01480191,145792,0.15792218,Black
AL-8,186390,0.56407525,0.42985489,0.40619318,0.59380682,0.55938136,0.01407664,0.00091937,0.00562521,0.01840792,146839,0.13422036,Black
AL-9,185499,0.60717972,0.38238018,0.46516258,0.53483742,0.46371283,0.04433428,0.00114911,0.01712976,0.01214583,149681,0.22479954,Minority
AL-10,185578,0.46949143,0.51173832,0.57503289,0.42496711,0.3080526,0.04612799,0.00194238,0.05393193,0.0187763,145183,-0.04224689,White
AL-11,185575,0.26735713,0.72300765,0.71766153,0.28233847,0.2269276,0.02631742,0.00101697,0.00904275,0.02052484,145531,-0.45565052,White
AL-12,185697,0.23957929,0.74786762,0.74241948,0.25758052,0.18001243,0.03988019,0.001152,0.01251143,0.02303304,143229,-0.50828833,White
AL-13,186703,0.3104033,0.67110125,0.73769697,0.26230303,0.13860566,0.0679054,0.00125699,0.03106654,0.02369315,142404,-0.36069795,White
AL-14,186729,0.34001631,0.64876717,0.66150208,0.33849792,0.27667827,0.02862259,0.00141221,0.01167607,0.02092638,147995,-0.30875086,White
AL-15,186558,0.15306971,0.83618031,0.84481606,0.15518394,0.07385533,0.04120408,0.00076613,0.00767527,0.02776191,143578,-0.6831106,White
AL-16,185700,0.65432881,0.32814956,0.44195499,0.55804501,0.47867089,0.0530872,0.00137834,0.01348101,0.01650492,142200,0.32617925,Black
AL-17,185679,0.66555699,0.31577349,0.44404427,0.55595573,0.47588867,0.03826962,0.00098592,0.03195842,0.01226023,149100,0.3497835,Black
AL-18,185824,0.60531235,0.37961086,0.43582193,0.56417807,0.47181708,0.04730989,0.0008661,0.03167157,0.01591547,144325,0.22570149,Black
AL-19,185774,0.18756343,0.80012137,0.83349041,0.16650959,0.10130222,0.02689744,0.00072919,0.00932124,0.02579678,145367,-0.61255794,White
AL-20,185881,0.1874643,0.80119257,0.82499215,0.17500785,0.11192014,0.03221055,0.00079584,0.00939649,0.02101295,143245,-0.61372827,White
AL-21,185622,0.11672889,0.87184945,0.88788294,0.11211706,0.01728726,0.05286928,0.00084769,0.0061909,0.03344196,143921,-0.75512056,White
AL-22,186135,0.20727949,0.7794692,0.78079597,0.21920403,0.09882246,0.0801216,0.00129285,0.01022398,0.03320172,143095,-0.57218971,White
AL-23,186625,0.15957245,0.82925357,0.85057154,0.14942846,0.03517505,0.05927775,0.00078596,0.00615667,0.05127339,145046,-0.66968112,White
AL-24,186531,0.27818945,0.70827867,0.73607194,0.26392806,0.15285526,0.05859475,0.00095853,0.0093302,0.04221001,145013,-0.43008922,White
AL-25,186386,0.28177742,0.70064128,0.78761243,0.21238757,0.1265276,0.04121442,0.00123028,0.01689586,0.02674495,146308,-0.41886386,White
AL-26,186627,0.35277284,0.62363331,0.76916759,0.23083241,0.12915965,0.03785608,0.00167002,0.02813026,0.03313348,146106,-0.27086047,White
AL-27,186668,0.5768902,0.39802813,0.49082494,0.50917506,0.37458016,0.07039677,0.00311297,0.04496054,0.02598919,146484,0.17886207,Minority
AR-1,188856,0.75737944,0.21538926,0.30388464,0.69611536,0.56232897,0.10672135,0.00130904,0.01577808,0.02515023,143617,0.54199018,Black
AR-2,188818,0.52749956,0.44787796,0.70468968,0.29531032,0.18564456,0.03700791,0.00100167,0.04626492,0.02481983,148752,0.0796216,White
AR-3,188017,0.53515708,0.43260546,0.42915446,0.57084554,0.52201512,0.02563751,0.00108193,0.00870333,0.01579063,146036,0.10255162,Black
AR-4,188327,0.30454716,0.66578519,0.72789226,0.27210774,0.19179244,0.04146902,0.00088367,0.01426602,0.02216959,141455,-0.36123803,White
AR-5,187808,0.22466381,0.74595384,0.81666993,0.18333007,0.09847488,0.03423478,0.00143549,0.01236625,0.03181895,142808,-0.52129003,White
AR-6,188248,0.1913041,0.7802511,0.89087227,0.10912773,0.03160207,0.02939824,0.00425663,0.00645361,0.03119014,145655,-0.588947,White
AR-7,188064,0.19024854,0.78509852,0.91205134,0.08794866,0.00435126,0.02619394,0.00152128,0.00821758,0.04104802,150531,-0.59484998,White
AR-8,188104,0.22695239,0.74553507,0.83320699,0.16679301,0.04381603,0.05917946,0.00135621,0.0152452,0.04309272,143783,-0.51858268,White
AR-9,188614,0.28627164,0.68689181,0.8184325,0.1815675,0.01062135,0.078167,0.0050855,0.01841587,0.06614611,144332,-0.40062017,White
AR-10,188583,0.39814518,0.56918163,0.66051808,0.33948192,0.02664963,0.18749262,0.01166706,0.07228409,0.04660917,135424,-0.17103645,White
AR-11,187888,0.53926914,0.42779255,0.65939771,0.34060229,0.05030434,0.18083327,0.03502842,0.03459811,0.04489773,144083,0.11147659,White
AR-12,187932,0.27299912,0.699204,0.73073098,0.26926902,0.05450801,0.10393085,0.00161101,0.04269864,0.06801944,142768,-0.42620488,White
AR-13,187638,0.35876928,0.61303183,0.75869765,0.24130235,0.128191,0.05703345,0.00112295,0.0189507,0.0327679,143372,-0.25426255,White
AR-14,187850,0.26622736,0.71093481,0.83330312,0.16669688,0.07277965,0.04315479,0.00134292,0.01050836,0.03570829,148929,-0.44470745,White
AR-15,188582,0.22329249,0.74726965,0.72743085,0.27256915,0.13535927,0.08543441,0.00201759,0.00900262,0.04018478,143736,-0.52397716,White
AR-16,188195,0.34813121,0.61996413,0.62481632,0.37518368,0.31071759,0.03732856,0.00123816,0.00723169,0.01954528,146992,-0.27183292,White
AZ-1,187847,0.64931172,0.33582554,0.23450808,0.76549192,0.00945827,0.06276319,0.00171504,0.00840735,0.69275231,137023,0.31348618,Native
AZ-2,188349,0.49232067,0.490163,0.72287046,0.27712954,0.02039664,0.14811089,0.00418576,0.02742482,0.08085973,154094,0.00215767,White
AZ-3,188498,0.2374276,0.74984155,0.77823477,0.22176523,0.01578107,0.1417614,0.00448972,0.01979819,0.04149317,156580,-0.51241395,White
AZ-4,188126,0.31280637,0.67240896,0.81383349,0.18616651,0.01048433,0.11299145,0.00326053,0.01853751,0.03794872,157950,-0.35960259,White
AZ-5,188766,0.36317635,0.62128095,0.51482109,0.48517891,0.02320412,0.40651261,0.00396449,0.02301437,0.04450393,147560,-0.2581046,White
AZ-6,188247,0.33482617,0.65497188,0.82568998,0.17431002,0.01806023,0.09208318,0.00274759,0.03131865,0.02686677,154317,-0.32014571,White
AZ-7,188469,0.35463783,0.62681534,0.60191142,0.39808858,0.04112511,0.29743974,0.00535308,0.02813461,0.0363844,145337,-0.27217751,White
AZ-8,188266,0.59657333,0.39243139,0.36126002,0.63873998,0.01703509,0.54285023,0.00193424,0.0103827,0.08077508,144760,0.20414194,Hispanic
AZ-9,187896,0.59617957,0.38655946,0.33471032,0.66528968,0.058098,0.55448892,0.0040501,0.03139379,0.04661659,136046,0.20962011,Hispanic
AZ-10,187688,0.69465817,0.29112117,0.37253726,0.62746274,0.04176212,0.5224847,0.00295124,0.02972132,0.06233997,148412,0.403537,Hispanic
AZ-11,187743,0.70811492,0.27517891,0.58759192,0.41240808,0.07059904,0.25421394,0.00512752,0.05775473,0.04167703,156801,0.43293601,White
AZ-12,187735,0.56821309,0.41817181,0.71812276,0.28187724,0.0433628,0.16012295,0.00358082,0.05576576,0.02487562,157785,0.15004128,White
AZ-13,187596,0.48084683,0.50476864,0.71834341,0.28165659,0.0270238,0.18632687,0.00308521,0.04477869,0.02685129,150719,-0.02392181,White
AZ-14,187792,0.34608678,0.63844249,0.73636642,0.26363358,0.04076742,0.16897182,0.00492082,0.02488853,0.02926181,140627,-0.29235571,White
AZ-15,187850,0.42176163,0.56433828,0.55228719,0.44771281,0.05553555,0.32513574,0.00877123,0.0235189,0.04971252,149922,-0.14257665,White
AZ-16,188149,0.56828046,0.41637631,0.56347503,0.43652497,0.09088535,0.18109302,0.00524488,0.07601897,0.10115627,141662,0.15190415,White
AZ-17,188214,0.40304929,0.5848003,0.72346759,0.27653241,0.04242069,0.12201422,0.00437939,0.09235314,0.01912828,134722,-0.18175101,White
AZ-18,188134,0.44313429,0.53934062,0.67920385,0.32079615,0.05136217,0.15968696,0.00579206,0.08576818,0.02576951,135703,-0.0962063300000001,White
AZ-19,188838,0.38839691,0.59500661,0.7434097,0.2565903,0.03496561,0.15729729,0.00523388,0.03781547,0.02730661,145972,-0.2066097,White
AZ-20,188393,0.39448188,0.58752513,0.73706926,0.26293074,0.03790406,0.1593227,0.00557889,0.03468235,0.03118373,148058,-0.19304325,White
