id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct_2,RepPct_2,Margin_2,Lean,Majority
AK-1,367244,0.50398274,0.45992697,0.59584787,0.40415213,0.05667178,0.07256861,0.0307855,0.1080234,0.15070853,282698,0.04405577,0.49735811,0.4622894,0.03506871,0.0330644,White
AK-2,366147,0.34874692,0.60966986,0.63447043,0.36552957,0.02817493,0.0476438,0.00914469,0.0474337,0.23269752,271305,-0.26092294,0.32722727,0.63213809,-0.30491082,-0.29524819,White
AL-1,385776,0.24158297,0.74463988,0.78530156,0.21469844,0.11724145,0.04033801,0.00125973,0.02318905,0.0289772,301651,-0.50305691,0.23382202,0.75397498,-0.52015296,-0.51945428,White
AL-2,385915,0.24013713,0.74807196,0.7165729,0.2834271,0.20119297,0.03707342,0.00171,0.01490716,0.0305352,298246,-0.50793483,0.21260539,0.77765846,-0.56505307,-0.55101366,White
AL-3,386526,0.54666564,0.44584376,0.43454567,0.56545433,0.51412442,0.02466885,0.0013425,0.0161763,0.0140515,301676,0.10082188,0.51266342,0.47911636,0.03354706,0.050972,Black
AL-4,385501,0.60421617,0.38379186,0.43548228,0.56451772,0.49523114,0.03414174,0.00114453,0.01627332,0.02153551,304056,0.22042431,0.5685695,0.41823345,0.15033605,0.1686988,Black
AL-5,387438,0.52222998,0.46173919,0.50013652,0.49986348,0.40691175,0.03860844,0.00130603,0.04076322,0.01647833,303975,0.06049079,0.49312893,0.49058885,0.00254008,0.01685698,White
AL-6,386145,0.26487627,0.72493101,0.72034364,0.27965636,0.21922178,0.02983341,0.0009233,0.00880938,0.02066332,302178,-0.46005474,0.23767574,0.75318594,-0.5155102,-0.50202505,White
AL-7,386897,0.32814296,0.65189177,0.75505848,0.24494152,0.13372882,0.05316953,0.00103522,0.03604464,0.0205398,297520,-0.32374881,0.32541545,0.65221867,-0.32680322,-0.33078508,White
AL-8,386939,0.77836745,0.20753616,0.30672578,0.69327422,0.61704812,0.04963392,0.00118897,0.01675104,0.01450483,303623,0.57083129,0.76641901,0.21832664,0.54809237,0.55067201,Black
AL-9,385942,0.19307962,0.79467639,0.81382688,0.18617312,0.11070072,0.03609857,0.00082303,0.01080056,0.02544643,296466,-0.60159677,0.2028931,0.78688099,-0.58398789,-0.59485752,White
