Type,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
Fair,CO-01,721086,0.7666674,0.20543343,0.64375123,0.35624877,0.09619318,0.20192693,0.0015197,0.04158898,0.01220374,542211,0.56123397,White
Fair,CO-02,721623,0.68346351,0.28798389,0.83257818,0.16742182,0.01409335,0.10735965,0.00102259,0.03366942,0.00985261,565231,0.39547962,White
Fair,CO-03,722309,0.44413796,0.53054942,0.74692084,0.25307916,0.01316191,0.20302234,0.00049544,0.01057819,0.02521931,563140,-0.08641146,White
Fair,CO-04,720919,0.38339506,0.591132,0.75054911,0.24945089,0.01919122,0.19330896,0.00104294,0.02216526,0.01298149,542696,-0.20773694,White
Fair,CO-05,722130,0.44106124,0.53140437,0.72245656,0.27754344,0.06959474,0.14916438,0.0026645,0.03726263,0.01280467,544567,-0.09034313,White
Fair,CO-06,722266,0.50896858,0.46452892,0.7933244,0.2066756,0.0413099,0.09799929,0.00112216,0.05479049,0.00800684,547157,0.04443966,White
Fair,CO-07,722113,0.55257297,0.41899593,0.81290896,0.18709104,0.01759933,0.12452143,0.00053078,0.03141881,0.01188255,574624,0.13357704,White
Fair,CO-08,721268,0.57473239,0.39599628,0.52769028,0.47230972,0.10259575,0.30096142,0.00203135,0.05216951,0.01266754,475546,0.17873611,White
Fair,NE-01,654120,0.49981716,0.48685729,0.79199657,0.20800343,0.09589977,0.06804305,0.00021631,0.0273106,0.01496814,466925,0.01295987,White
Fair,NE-02,653945,0.46005544,0.52545912,0.83971831,0.16028169,0.04073867,0.07635869,0.0005367,0.0299268,0.01052563,475126,-0.06540368,White
Fair,NE-03,653439,0.2095905,0.77913332,0.88588212,0.11411788,0.0116636,0.07975077,0.00045399,0.00798929,0.01407778,471381,-0.56954282,White
Fair,NV-01,776028,0.60631896,0.3752594,0.31930604,0.68069396,0.19434224,0.3803781,0.00665183,0.07766236,0.01364715,445441,0.23105956,Hispanic
Fair,NV-02,776598,0.41854783,0.55808277,0.72306815,0.27693185,0.02810227,0.16807968,0.00387386,0.0460643,0.02708601,580558,-0.13953494,White
Fair,NV-03,776006,0.52190901,0.46073587,0.47108295,0.52891705,0.15164457,0.20028126,0.00906389,0.1461563,0.00984768,576684,0.06117314,Minority
Fair,NV-04,775982,0.42311427,0.55976901,0.62468832,0.37531168,0.07909861,0.14555427,0.00837602,0.11822267,0.01323733,620820,-0.13665474,White
Fair,GA-01,765246,0.44201594,0.55221272,0.5988094,0.4011906,0.31390431,0.05429181,0.00095934,0.01985578,0.00923173,588947,-0.11019678,White
Fair,GA-02,765388,0.55524323,0.44014845,0.42725679,0.57274321,0.50529573,0.03999815,0.00082415,0.01662874,0.00969981,563001,0.11509478,Black
Fair,GA-03,764645,0.30491608,0.68978128,0.71341267,0.28658733,0.21824741,0.04337345,0.00037347,0.01161492,0.01214457,589070,-0.3848652,White
Fair,GA-04,764382,0.81864331,0.17109462,0.33370842,0.66629158,0.55951021,0.04809916,0.0004576,0.0498283,0.00716227,533211,0.64754869,Black
Fair,GA-05,765188,0.74961877,0.24270527,0.27475329,0.72524671,0.64754401,0.04852564,0.00043558,0.02140627,0.00796419,573944,0.5069135,Black
Fair,GA-06,765083,0.56879686,0.4205185,0.55740977,0.44259023,0.29725803,0.08674381,0.00045588,0.0487517,0.00733675,539612,0.14827836,White
Fair,GA-07,764425,0.58599779,0.40118142,0.625915,0.374085,0.18261397,0.07083243,0.00036166,0.11103238,0.00475328,541941,0.18481637,White
Fair,GA-08,766006,0.28224129,0.714638,0.64840027,0.35159973,0.2834731,0.04726323,0.00035245,0.00858623,0.01132256,564625,-0.43239671,White
Fair,GA-09,765801,0.59638456,0.39144351,0.36054878,0.63945122,0.36856715,0.14663723,0.00045669,0.11407129,0.00772583,475159,0.20494105,Black
Fair,GA-10,764954,0.32366322,0.6698946,0.73148285,0.26851715,0.15362253,0.07773984,0.00022031,0.02499475,0.01091046,581002,-0.34623138,White
Fair,GA-11,765562,0.30724534,0.68441245,0.7734061,0.2265939,0.08838994,0.07499932,0.0008502,0.05326525,0.00650077,555165,-0.37716711,White
Fair,GA-12,765141,0.44997158,0.54490188,0.53248427,0.46751573,0.39551248,0.03842233,0.00093705,0.02195022,0.00918683,582682,-0.0949303,White
Fair,GA-13,764207,0.69604714,0.29805812,0.27871804,0.72128196,0.61458604,0.06293744,0.00048683,0.03126981,0.0109755,550499,0.39798902,Black
Fair,GA-14,765880,0.19263256,0.80259559,0.86671994,0.13328006,0.04498294,0.06133152,0.00051708,0.01086044,0.01510959,595648,-0.60996303,White
Fair,KS-01,734718,0.22865241,0.75372175,0.8505553,0.1494447,0.02266415,0.09264565,0.00055283,0.01062726,0.02221391,526382,-0.52506934,White
Fair,KS-02,734375,0.50286047,0.47796557,0.8066855,0.1933145,0.06724651,0.07484458,0.00087818,0.03072892,0.01815268,546586,0.0248949,White
Fair,KS-03,734207,0.49998722,0.48219961,0.7777371,0.2222629,0.08614098,0.0883413,0.0007001,0.03382196,0.0127264,529922,0.01778761,White
Fair,KS-04,734580,0.38792044,0.59469594,0.77500589,0.22499411,0.07485045,0.09525119,0.00038812,0.03413563,0.01875218,530765,-0.2067755,White
Fair,KY-01,750895,0.26951967,0.71715122,0.84006319,0.15993681,0.08471407,0.03488328,0.00205125,0.01609054,0.02075765,579160,-0.44763155,White
Fair,KY-02,750437,0.26415908,0.72109231,0.87996954,0.12003046,0.05293977,0.02818308,0.00168526,0.01378767,0.02141586,572613,-0.45693323,White
Fair,KY-03,751321,0.57472685,0.40723579,0.66076376,0.33923624,0.2172404,0.0677879,0.00165828,0.03680104,0.01868199,589766,0.16749106,White
Fair,KY-04,751315,0.45879246,0.52074509,0.78420624,0.21579376,0.10435841,0.05713307,0.00245894,0.03299262,0.01990456,583585,-0.06195263,White
Fair,KY-05,750765,0.15532497,0.83294128,0.94193174,0.05806826,0.01863545,0.01389914,0.00056829,0.00490407,0.01809626,584209,-0.67761631,White
Fair,KY-06,751103,0.30287205,0.68057816,0.90067825,0.09932175,0.03464174,0.02661657,0.0014846,0.01317514,0.01985669,574567,-0.37770611,White
Fair,MO-01,769756,0.68581702,0.29692005,0.54227218,0.45772782,0.39864301,0.02788189,0.0003581,0.02281512,0.00824491,580843,0.38889697,White
Fair,MO-02,768790,0.55197851,0.42888695,0.8207552,0.1792448,0.10241633,0.02736857,0.00017544,0.04336163,0.00603337,569997,0.12309156,White
Fair,MO-03,770262,0.36006833,0.62518407,0.89901745,0.10098255,0.04638261,0.0248536,0.00038829,0.01950426,0.00893723,600074,-0.26511574,White
Fair,MO-04,768662,0.27692771,0.71101964,0.89594051,0.10405949,0.04363413,0.03340786,0.0010967,0.00919229,0.01598099,589951,-0.43409193,White
Fair,MO-05,769505,0.6163527,0.36592189,0.65809533,0.34190467,0.22634724,0.07555281,0.0017448,0.02574198,0.01236049,571984,0.25043081,White
Fair,MO-06,769954,0.27207393,0.71597961,0.9147009,0.0852991,0.03683702,0.02720259,0.00090884,0.00809651,0.01112317,589760,-0.44390568,White
Fair,MO-07,769217,0.28076735,0.70688848,0.89651951,0.10348049,0.02396818,0.04157969,0.00084643,0.01443992,0.02112538,593078,-0.42612113,White
Fair,MO-08,768767,0.19709957,0.79399435,0.89854957,0.10145043,0.04669671,0.02363671,0.00070732,0.00860658,0.02050551,589549,-0.59689478,White
Fair,TX-01,766657,0.26984957,0.71963943,0.66791308,0.33208692,0.14834516,0.15617061,0.00072312,0.01207654,0.01361896,582203,-0.44978986,White
Fair,TX-02,766249,0.27226077,0.71773229,0.69040086,0.30959914,0.07464789,0.19252196,0.00073699,0.03194813,0.00849711,550893,-0.44547152,White
Fair,TX-03,767465,0.37653681,0.59766542,0.61895209,0.38104791,0.12547438,0.14260282,0.00084723,0.10081537,0.00957162,571272,-0.22112861,White
Fair,TX-04,767256,0.20652819,0.78643154,0.73230078,0.26769922,0.14639817,0.09281421,0.0006916,0.00896101,0.01847005,571141,-0.57990335,White
Fair,TX-05,766470,0.2425712,0.7475277,0.65636993,0.34363007,0.11606127,0.19292793,0.00055746,0.01773417,0.0155113,574033,-0.5049565,White
Fair,TX-06,766909,0.5873831,0.3960148,0.37000499,0.62999501,0.28023187,0.28475374,0.002769,0.05149346,0.00925069,483207,0.1913683,Minority
Fair,TX-07,766462,0.57201933,0.40802188,0.50126108,0.49873892,0.10724463,0.29720673,0.00036301,0.08561944,0.00641453,476574,0.16399745,White
Fair,TX-08,767578,0.36576051,0.61807612,0.54026606,0.45973394,0.16290084,0.21341088,0.0006629,0.07174728,0.00960737,532508,-0.25231561,White
Fair,TX-09,766724,0.54401741,0.43707439,0.31960555,0.68039445,0.32742469,0.24174435,0.0004384,0.10272493,0.00580363,526912,0.10694302,Black
Fair,TX-10,766981,0.56879439,0.41328663,0.48524023,0.51475977,0.09608198,0.37520838,0.00051027,0.0330279,0.00884715,550686,0.15550776,Minority
Fair,TX-11,767324,0.18513395,0.80601094,0.75270898,0.24729102,0.0361488,0.18571709,0.00035355,0.00987247,0.01443338,596811,-0.62087699,White
Fair,TX-12,767355,0.37381849,0.61249638,0.66012497,0.33987503,0.08638347,0.18151329,0.00080998,0.05780265,0.01027999,544456,-0.23867789,White
Fair,TX-13,767072,0.23095968,0.75917455,0.60688818,0.39311182,0.06246452,0.29755519,0.00097646,0.01886858,0.01228703,547895,-0.52821487,White
Fair,TX-14,767533,0.27404626,0.71814252,0.63973648,0.36026352,0.20306019,0.12415771,0.00067241,0.01663694,0.01544429,565128,-0.44409626,White
Fair,TX-15,767751,0.48398427,0.5066358,0.0982224,0.9017776,0.00935418,0.87686556,0.0004887,0.01268733,0.00227034,421523,-0.02265153,Hispanic
Fair,TX-16,766440,0.57308146,0.4119961,0.14105508,0.85894492,0.03976956,0.79601608,0.00125567,0.01492279,0.00675396,502520,0.16108536,Hispanic
Fair,TX-17,767351,0.47196715,0.5072591,0.65362695,0.34637305,0.0708223,0.1905762,0.00109802,0.07222532,0.00816892,573760,-0.03529195,White
Fair,TX-18,766954,0.75510616,0.23124372,0.1397154,0.8602846,0.51204972,0.29642817,0.00122405,0.04256738,0.00776018,466484,0.52386244,Black
Fair,TX-19,767255,0.49723666,0.47502663,0.57859308,0.42140692,0.13516234,0.14471466,0.00042525,0.12876132,0.00923477,538508,0.02221003,White
Fair,TX-20,767280,0.62590194,0.3591186,0.21712495,0.78287505,0.07181499,0.68659224,0.00138993,0.01479282,0.00601524,513695,0.26678334,Hispanic
Fair,TX-21,767450,0.39908724,0.58728767,0.53291077,0.46708923,0.07196449,0.34858096,0.0009295,0.0336542,0.00798481,583107,-0.18820043,White
Fair,TX-22,766323,0.54153739,0.42529682,0.24637531,0.75362469,0.25496521,0.23980887,0.00084676,0.24951317,0.00605654,433416,0.11624057,Black
Fair,TX-23,766949,0.20823402,0.78262879,0.46064404,0.53935596,0.04979094,0.46739031,0.00077881,0.01114197,0.01067873,494347,-0.57439477,Hispanic
Fair,TX-24,766229,0.53628954,0.44249073,0.58700681,0.41299319,0.1559018,0.16217803,0.00116856,0.08361176,0.01009098,546825,0.09379881,White
Fair,TX-25,766405,0.30058992,0.68786707,0.71190266,0.28809734,0.09495528,0.15502049,0.00113953,0.02276512,0.01125075,587961,-0.38727715,White
Fair,TX-26,767288,0.27258301,0.71622039,0.75609553,0.24390447,0.0675349,0.12642026,0.0008714,0.03263328,0.01502226,589858,-0.44363738,White
Fair,TX-27,767195,0.26904468,0.72194766,0.50254507,0.49745493,0.07096938,0.39946421,0.0005854,0.0158844,0.01068182,560298,-0.45290298,White
Fair,TX-28,767180,0.452246,0.53966976,0.11004826,0.88995174,0.01332398,0.86466114,0.0005515,0.00515131,0.00535574,420670,-0.08742376,Hispanic
Fair,TX-29,766434,0.52760358,0.46032202,0.21234893,0.78765107,0.17482291,0.56461717,0.00075505,0.03982212,0.00771481,419842,0.06728156,Hispanic
Fair,TX-30,766658,0.7219504,0.26223721,0.18849285,0.81150715,0.51287314,0.25195359,0.00033019,0.03616749,0.01065764,490634,0.45971319,Black
