id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct_2,RepPct_2,Margin_2,Lean,Majority
AK-1,367244,0.49735811,0.4622894,0.59584787,0.40415213,0.05667178,0.07256861,0.0307855,0.1080234,0.15070853,282698,0.03506871,0.50398274,0.45992697,0.04405577,0.03259773,White
AK-2,366147,0.32722727,0.63213809,0.63447043,0.36552957,0.02817493,0.0476438,0.00914469,0.0474337,0.23269752,271305,-0.30491082,0.34874692,0.60966986,-0.26092294,-0.29571486,White
AL-1,456819,0.23047291,0.75716678,0.78096747,0.21903253,0.12351094,0.03870443,0.00125911,0.02250701,0.02954571,356600,-0.52669387,0.24235122,0.74379322,-0.501442,-0.52374325,White
AL-2,457134,0.26952353,0.72130012,0.65422706,0.34577294,0.26858045,0.0378546,0.00189781,0.01445491,0.02637471,354620,-0.45177659,0.29748891,0.69140996,-0.39392105,-0.43795808,White
AL-3,456354,0.58571374,0.40004988,0.40366211,0.59633789,0.51383462,0.03367799,0.00119841,0.03890081,0.013882,358810,0.18566386,0.61197643,0.37517113,0.2368053,0.19724434,Black
AL-4,456871,0.55488728,0.43357899,0.43710734,0.56289266,0.50291036,0.02975187,0.00104617,0.01362248,0.01952666,359406,0.12130829,0.58917609,0.40037944,0.18879665,0.13833774,Black
AL-5,457143,0.26081857,0.72931852,0.70240466,0.29759534,0.23665154,0.02740929,0.0010405,0.01192793,0.02067546,356558,-0.46849995,0.28855243,0.70051884,-0.41196641,-0.4551221,White
AL-6,455823,0.18205922,0.8082391,0.78878042,0.21121958,0.10398094,0.06325973,0.00116588,0.00910123,0.03722921,354238,-0.62617988,0.20421266,0.78388025,-0.57966759,-0.61614245,White
AL-7,455829,0.15187805,0.83873754,0.84755545,0.15244455,0.07504779,0.03810901,0.00086631,0.00906356,0.0269521,352069,-0.68685949,0.16178775,0.82641985,-0.6646321,-0.68491703,White
AL-8,457431,0.19571873,0.79320852,0.80758344,0.19241656,0.1015666,0.04879574,0.00083746,0.00786092,0.03345635,358228,-0.59748979,0.2209788,0.76615111,-0.54517231,-0.5855173,White
AL-9,456864,0.42694086,0.55149327,0.64624264,0.35375736,0.23630355,0.0535917,0.00230131,0.03483643,0.03067108,356753,-0.12455241,0.43137229,0.54491195,-0.11353966,-0.12634816,White
AL-10,456797,0.71021107,0.27175931,0.3616454,0.6383546,0.5540493,0.05114039,0.00118645,0.0220541,0.01516708,358210,0.43845176,0.72783506,0.25595287,0.47188219,0.44412857,Black
AL-11,457214,0.28208068,0.70032223,0.78043017,0.21956983,0.12277848,0.04645211,0.00092984,0.02585065,0.02222797,351674,-0.41824155,0.27085973,0.712515,-0.44165527,-0.43151279,White
AR-1,502668,0.23306777,0.74674596,0.80383515,0.19616485,0.11716249,0.03386564,0.0023465,0.01118717,0.02742653,381419,-0.51367819,0.24379495,0.72716163,-0.48336668,-0.50904102,White
AR-2,502121,0.3235804,0.65299571,0.7902883,0.2097117,0.10633841,0.046533,0.00123225,0.01818859,0.03430545,389530,-0.32941531,0.3258427,0.64842504,-0.32258234,-0.33260432,White
AR-3,502141,0.40237044,0.56828691,0.69727946,0.30272054,0.03204316,0.1594824,0.01860717,0.04452173,0.05125572,374963,-0.16591647,0.40981881,0.55889348,-0.14907467,-0.1657692,White
AR-4,501151,0.26617231,0.7156748,0.69324431,0.30675569,0.17682505,0.07046347,0.00159979,0.01942568,0.03890063,385675,-0.44950249,0.28299285,0.6867035,-0.40371065,-0.43970521,White
AR-5,501094,0.62437778,0.35301739,0.44215633,0.55784367,0.46241725,0.05910145,0.00118955,0.02086858,0.02099216,388383,0.27136039,0.62779839,0.34352073,0.28427766,0.27019948,Black
AR-6,502349,0.20461786,0.77540889,0.86358249,0.13641751,0.01519489,0.05360397,0.00219728,0.01298996,0.04770037,392303,-0.57079103,0.21404878,0.76056546,-0.54651668,-0.56816625,White
AZ-1,476920,0.50798836,0.48079082,0.46276501,0.53723499,0.03661145,0.15381269,0.00351827,0.02027821,0.33312319,363247,0.02719754,0.5482564,0.43515817,0.11309823,0.05036444,Minority
AZ-2,476808,0.43666856,0.55293594,0.69999609,0.30000391,0.03314161,0.19940264,0.00590314,0.03955081,0.03032176,383355,-0.11626738,0.43449072,0.55051987,-0.11602915,-0.12165464,White
AZ-3,476777,0.57117952,0.41939572,0.27880745,0.72119255,0.03098265,0.63270992,0.00257324,0.01643737,0.06360792,356748,0.1517838,0.6294121,0.3572172,0.2721949,0.18645417,Hispanic
AZ-4,476840,0.29365557,0.69871125,0.65489865,0.34510135,0.03193811,0.2507657,0.00450987,0.02135533,0.04564169,379390,-0.40505568,0.31409863,0.67193904,-0.35784041,-0.39478392,White
AZ-5,476954,0.36768917,0.62242847,0.72917887,0.27082113,0.04215318,0.14628756,0.00515505,0.05801731,0.02444632,348396,-0.2547393,0.38024708,0.60540758,-0.2251605,-0.25034637,White
AZ-6,477662,0.50112285,0.48782483,0.64281371,0.35718629,0.050961,0.20250725,0.0044952,0.06416181,0.04593726,389749,0.01329802,0.52996113,0.45442222,0.07553891,0.02857832,White
AZ-7,477233,0.69561265,0.28986468,0.23289402,0.76710598,0.13534189,0.56890497,0.00506183,0.04028412,0.05010366,341971,0.40574797,0.75469252,0.22943776,0.52525476,0.4401169,Hispanic
AZ-8,477006,0.41542957,0.57632887,0.68600726,0.31399274,0.05691602,0.19542211,0.00429045,0.04000615,0.02544834,377117,-0.1608993,0.42456241,0.56273107,-0.13816866,-0.15878909,White
AZ-9,476549,0.5701492,0.41522577,0.58261535,0.41738465,0.07631901,0.20268708,0.0054018,0.10354599,0.04386303,376171,0.15492343,0.59084764,0.3911868,0.19966084,0.16436923,White
AZ-10,476994,0.63299999,0.35284685,0.57651767,0.42348233,0.06101493,0.28221972,0.00456688,0.05256146,0.04081182,389544,0.28015314,0.64495349,0.33879857,0.30615492,0.28335373,White
AZ-11,476972,0.31714295,0.67502518,0.81120376,0.18879624,0.01765091,0.11195615,0.00302536,0.02429957,0.03016709,393011,-0.35788223,0.33227302,0.655324,-0.32305098,-0.35173848,White
AZ-12,476296,0.40940131,0.57928026,0.71559219,0.28440781,0.04107873,0.16519853,0.00529625,0.04978361,0.02952602,365542,-0.16987895,0.41441325,0.56775156,-0.15333831,-0.16983207,White
AZ-13,476699,0.5909487,0.39793362,0.23584349,0.76415651,0.09733363,0.6084614,0.00520939,0.04252167,0.03866981,330749,0.19301508,0.65162572,0.33248596,0.31913976,0.22958997,Hispanic
AZ-14,475839,0.42248851,0.56735066,0.71695955,0.28304045,0.04248609,0.14119836,0.00367574,0.07418026,0.02494043,369721,-0.14486215,0.43680566,0.54888245,-0.11207679,-0.13940036,White
AZ-15,475953,0.5749841,0.41290922,0.59264178,0.40735822,0.07521503,0.24992247,0.00370032,0.04874293,0.04342306,377265,0.16207488,0.58993979,0.39325372,0.19668607,0.16814528,White
CA-1,475865,0.31731551,0.6561969,0.71547544,0.28452456,0.02163233,0.16195281,0.00576986,0.03507946,0.06530176,377999,-0.33888139,0.34021983,0.6368165,-0.29659667,-0.33025315,White
CA-2,476340,0.64822086,0.31374348,0.66638237,0.33361763,0.02264542,0.19628635,0.006693,0.04660917,0.07027128,384581,0.33447738,0.68099198,0.29072376,0.39026822,0.34760766,White
