id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct_2,RepPct_2,Margin_2,Lean,Majority
AK-AL,733391,0.41406128,0.54544809,0.61476201,0.38523799,0.04271638,0.06036249,0.02018762,0.07835156,0.19085998,554003,-0.13138681,0.43006525,0.53122894,-0.10116369,-0.12631244,White
AL-01,718010,0.2045242,0.78500734,0.77078221,0.22921779,0.13884584,0.0385079,0.00147804,0.01818309,0.03103161,557496,-0.58048314,0.22128742,0.76635762,-0.5450702,-0.57367883,White
AL-02,717922,0.53291317,0.45461668,0.44049518,0.55950482,0.486832,0.03189947,0.00132345,0.02933063,0.01478684,563677,0.07829649,0.56624728,0.42213056,0.14411672,0.09523657,Black
AL-03,717417,0.2493944,0.73626556,0.77652953,0.22347047,0.14214682,0.03901133,0.0009496,0.01759923,0.02241958,552865,-0.48687116,0.25210721,0.73319075,-0.48108354,-0.48994195,White
AL-04,717372,0.19285166,0.79524107,0.83062692,0.16937308,0.08612081,0.03863887,0.00098891,0.01037998,0.03270363,560213,-0.60238941,0.20256143,0.78341902,-0.58085759,-0.60021214,White
AL-05,717515,0.54120642,0.44080889,0.50889318,0.49110682,0.39161781,0.05517843,0.00184613,0.02395321,0.02363183,560092,0.10039753,0.56111568,0.41997985,0.14113583,0.10897696,White
AL-06,718061,0.18068373,0.8097667,0.78771821,0.21228179,0.11558111,0.05564285,0.0011385,0.00925705,0.03235747,556873,-0.62908297,0.2023005,0.78628418,-0.58398368,-0.61904987,White
AL-07,717982,0.55649321,0.42689628,0.47390936,0.52609064,0.44528669,0.03940631,0.00101246,0.0249545,0.01856701,565950,0.12959693,0.58228417,0.40313422,0.17914995,0.1411146,Minority
AR-01,753544,0.20100012,0.77931072,0.86729837,0.13270163,0.05286275,0.0289678,0.00194184,0.00913524,0.03416265,581922,-0.5783106,0.20988934,0.76306792,-0.55317858,-0.57493326,White
AR-02,753179,0.54863837,0.42773087,0.52448187,0.47551813,0.37680481,0.05590243,0.00115816,0.02268629,0.02307577,582819,0.1209075,0.55560195,0.41552494,0.14007701,0.12229734,White
AR-03,752286,0.36240413,0.61036366,0.71596476,0.28403524,0.03566838,0.1390563,0.01354426,0.04182438,0.05620312,565627,-0.24795953,0.36850326,0.60150318,-0.23299992,-0.24797299,White
AR-04,752515,0.26115218,0.71958885,0.75343054,0.24656946,0.13976852,0.05827412,0.00142119,0.01124582,0.03401414,581905,-0.45843667,0.27272113,0.69990122,-0.42718009,-0.45301781,White
AZ-01,793623,0.51322787,0.47603679,0.61314953,0.38685047,0.06827421,0.23042326,0.00348737,0.05954063,0.03605795,626547,0.03719108,0.54338379,0.44342218,0.09996161,0.05311459,White
AZ-02,795564,0.52249738,0.46596836,0.50828855,0.49171145,0.04908328,0.19769574,0.00522308,0.03895383,0.21439627,615729,0.05652902,0.55144038,0.43254084,0.11889954,0.07231919,White
AZ-03,794222,0.54520121,0.44443181,0.33839586,0.66160414,0.08730199,0.51358324,0.0045292,0.04211128,0.03763797,572507,0.1007694,0.59013722,0.39477443,0.19536279,0.12730053,Hispanic
AZ-04,795377,0.5240512,0.4618953,0.57462779,0.42537221,0.06914654,0.24063157,0.00602849,0.08353511,0.0405633,624037,0.0621559,0.54449778,0.43653293,0.10796485,0.07242555,White
AZ-05,794913,0.34934128,0.64075793,0.73753464,0.26246536,0.03554712,0.15250441,0.00496329,0.04308347,0.03090715,590737,-0.29141665,0.35991581,0.62442804,-0.26451223,-0.28744851,White
AZ-06,794933,0.52865889,0.459229,0.65462409,0.34537591,0.04803156,0.22244568,0.0044618,0.04895715,0.03213027,643910,0.06942989,0.53509834,0.44904092,0.08605742,0.0699724,White
AZ-07,794385,0.52688754,0.46303619,0.35803041,0.64196959,0.04419409,0.53940811,0.00357215,0.02244206,0.05581611,598519,0.06385135,0.57757785,0.40791886,0.16965899,0.09412056,Hispanic
AZ-08,794716,0.5077296,0.4812701,0.62690349,0.37309651,0.06741392,0.22830308,0.00372621,0.04777092,0.03732232,631472,0.0264595,0.51860471,0.46578349,0.05282122,0.03024674,White
AZ-09,793769,0.29628794,0.69627086,0.78504913,0.21495087,0.02364538,0.1237052,0.00380412,0.03058489,0.03421203,638518,-0.39998292,0.31059397,0.67698691,-0.36639294,-0.39378626,White
CA-01,760069,0.56874352,0.3985946,0.63511145,0.36488855,0.02292648,0.24443565,0.00670254,0.05073943,0.05282883,596341,0.17014892,0.60180579,0.372258,0.22954779,0.18494854,White
CA-02,760510,0.58171643,0.38705372,0.71860955,0.28139045,0.02751323,0.13675058,0.00586247,0.0539654,0.06199198,619193,0.19466271,0.60593693,0.37056538,0.23537155,0.20323232,White
CA-03,760220,0.53888034,0.42767861,0.61429023,0.38570977,0.06597678,0.16444687,0.01084169,0.12421618,0.03469944,597877,0.11120173,0.56405792,0.41151737,0.15254055,0.11998134,White
CA-04,760406,0.58074892,0.3882525,0.55106571,0.44893429,0.03125778,0.26369842,0.00809552,0.12239715,0.04028067,594156,0.19249642,0.61535887,0.36082687,0.254532,0.20817495,White
CA-05,760084,0.36985805,0.60556153,0.56770224,0.43229776,0.02923913,0.28975317,0.00848559,0.0769177,0.04510186,586406,-0.23570348,0.40821041,0.57040632,-0.16219591,-0.21620096,White
CA-06,759270,0.53516708,0.43104926,0.56557938,0.43442062,0.08699893,0.1778212,0.01283988,0.13971472,0.03549211,590582,0.10411782,0.55087289,0.42200054,0.12887235,0.10736933,White
CA-07,759877,0.53229543,0.43582361,0.43853131,0.56146869,0.09927198,0.20429312,0.02022661,0.22535783,0.0373013,578693,0.09647182,0.57442496,0.40299291,0.17143205,0.11645856,Minority
CA-08,760418,0.57323866,0.39775494,0.39392586,0.60607414,0.14808047,0.26632489,0.01662183,0.17404869,0.03556841,591030,0.17548372,0.61705346,0.36006039,0.25699307,0.1976535,Minority
CA-09,759311,0.53406055,0.43396322,0.30482667,0.69517333,0.09364854,0.37098543,0.0133045,0.21816558,0.03733175,560863,0.10009733,0.60939215,0.36831293,0.24107922,0.14209129,Hispanic
CA-10,760707,0.71758521,0.24959702,0.42579309,0.57420691,0.09769776,0.25685369,0.00951291,0.20269221,0.02890282,598765,0.46798819,0.75583133,0.22349001,0.53234132,0.48443923,Minority
CA-11,759871,0.81841547,0.14058104,0.44685009,0.55314991,0.06514956,0.13293645,0.00692056,0.34127543,0.01937757,664686,0.67783443,0.86289892,0.11728119,0.74561773,0.69542886,Minority
CA-12,759968,0.8461877,0.10554791,0.35225675,0.64774325,0.18111653,0.21208915,0.009324,0.24410707,0.03069398,620871,0.74063979,0.89392485,0.08531328,0.80861157,0.75829705,Minority
CA-13,760437,0.53309835,0.4379656,0.28465788,0.71534212,0.03939923,0.56876419,0.00838224,0.09158973,0.05066416,552955,0.09513275,0.6058623,0.37051902,0.23534328,0.13686959,Hispanic
CA-14,759924,0.65870302,0.30118463,0.29061412,0.70938588,0.065605,0.20811208,0.01785538,0.41951524,0.02324217,586434,0.35751839,0.7190803,0.26087537,0.45820493,0.38608057,Asian
CA-15,759290,0.72084993,0.2443829,0.34356301,0.65643699,0.0313412,0.20512892,0.01452035,0.4023618,0.01978818,613346,0.47646703,0.77159402,0.20928384,0.56231018,0.50008141,Asian
CA-16,759868,0.74043615,0.2189439,0.36917823,0.63082177,0.02931583,0.16543004,0.0095837,0.4203485,0.0166836,600290,0.52149225,0.78312179,0.19533839,0.5877834,0.5385893,Asian
CA-17,759365,0.62604508,0.33505867,0.1421165,0.8578835,0.02953,0.23353535,0.0091392,0.58877961,0.02244448,596004,0.29098641,0.69596902,0.28716325,0.40880577,0.32525953,Asian
CA-18,760512,0.71247891,0.24878078,0.45981104,0.54018896,0.03802968,0.25303123,0.00754264,0.23273071,0.02914532,606684,0.46369813,0.74591868,0.22973114,0.51618754,0.4761946,Minority
CA-19,759410,0.60507816,0.36532649,0.29267841,0.70732159,0.03357726,0.59516002,0.00763905,0.06557157,0.04535261,572977,0.23975167,0.67011839,0.30745232,0.36266607,0.27572314,Hispanic
CA-20,760270,0.33117237,0.64659725,0.46473412,0.53526588,0.04489671,0.39005426,0.00454553,0.07477832,0.04276806,558571,-0.31542488,0.36896883,0.60958702,-0.24061819,-0.29548932,Minority
CA-21,760586,0.53546854,0.43730682,0.22102642,0.77897358,0.06229354,0.59494401,0.00398256,0.11184848,0.04318285,537343,0.09816172,0.61037914,0.36814693,0.24223221,0.14118522,Hispanic
CA-22,759472,0.52921004,0.44141545,0.38945388,0.61054612,0.05065455,0.48871648,0.00372089,0.0547058,0.03686117,575131,0.08779459,0.57795185,0.39755021,0.18040164,0.11366361,Hispanic
CA-23,759359,0.35556624,0.61929833,0.52626543,0.47373457,0.06016531,0.31846097,0.00688446,0.06413599,0.04586536,580002,-0.26373209,0.38182009,0.59505249,-0.2132324,-0.25189886,White
CA-24,759968,0.59106046,0.37827846,0.48388201,0.51611799,0.02429023,0.39536811,0.00460706,0.07904141,0.03924891,596042,0.212782,0.6223133,0.35513632,0.26717698,0.22591366,Minority
CA-25,759987,0.54629699,0.42875953,0.176117,0.823883,0.06076073,0.6246872,0.00887844,0.13876586,0.03373635,583436,0.11753746,0.63190273,0.34732214,0.28458059,0.1682185,Hispanic
CA-26,760824,0.58147492,0.39066825,0.53585878,0.46414122,0.03100418,0.31029908,0.00490336,0.10873659,0.02871225,594694,0.19080667,0.62075804,0.35953703,0.26122101,0.20927812,White
CA-27,760354,0.53595915,0.43450358,0.22393104,0.77606896,0.14321961,0.56615904,0.00527696,0.05961436,0.04416695,558087,0.10145557,0.61017042,0.36554076,0.24462966,0.14418027,Hispanic
CA-28,759425,0.60912986,0.35772956,0.22347966,0.77652034,0.03206587,0.30427917,0.00339445,0.43932344,0.02432471,617479,0.2514003,0.65915444,0.32078245,0.33837199,0.27539086,Asian
CA-29,760082,0.64900774,0.31886658,0.31591421,0.68408579,0.06202472,0.49677233,0.00332371,0.12095957,0.03260073,598729,0.33014116,0.71839476,0.25999542,0.45839934,0.36789389,Hispanic
CA-30,760805,0.67646538,0.29404009,0.63850585,0.36149415,0.04959481,0.14827399,0.00342235,0.15140422,0.01633071,650431,0.38242529,0.71421179,0.26887165,0.44534014,0.39839691,White
CA-31,759880,0.54537615,0.42220869,0.23108351,0.76891649,0.01988775,0.61010013,0.00375074,0.13433115,0.03817727,588151,0.12316746,0.61288424,0.36529876,0.24758548,0.15964013,Hispanic
CA-32,760365,0.54887798,0.42057801,0.42245186,0.57754814,0.05904692,0.33361046,0.00459246,0.17676831,0.0265372,601420,0.12829997,0.60133548,0.3786433,0.22269218,0.15476404,Minority
CA-33,760453,0.54560087,0.42521544,0.18900219,0.81099781,0.11432129,0.61098479,0.00575122,0.08108641,0.03980668,553274,0.12038543,0.63432575,0.3418271,0.29249865,0.1727565,Hispanic
CA-34,760747,0.75316502,0.20395516,0.20099008,0.79900992,0.04183878,0.63833517,0.00306673,0.11695726,0.03967588,605204,0.54920986,0.82537058,0.15293043,0.67244015,0.58528662,Hispanic
CA-35,759961,0.52348014,0.44651948,0.26353991,0.73646009,0.07556874,0.51818003,0.00555874,0.13752533,0.03688499,584845,0.07696066,0.59175451,0.38678535,0.20496916,0.11463016,Hispanic
CA-36,760429,0.68499284,0.28147874,0.55632016,0.44367984,0.05136787,0.1601483,0.00625268,0.21601118,0.01925025,629810,0.4035141,0.71347997,0.26515797,0.448322,0.41345007,White
CA-37,760605,0.72651021,0.23377008,0.09606051,0.90393949,0.13455032,0.59414014,0.00300294,0.17580924,0.04364108,594417,0.49274013,0.81747375,0.160176,0.65729775,0.54259267,Hispanic
CA-38,760086,0.54603808,0.4233721,0.13710551,0.86289449,0.03529739,0.48803654,0.00425276,0.33954899,0.02962374,604549,0.12266598,0.62593967,0.35561309,0.27032658,0.16688618,Hispanic
CA-39,759579,0.53721003,0.43212504,0.21052256,0.78947744,0.09442125,0.6164352,0.0064958,0.07164488,0.03906409,560054,0.10508499,0.62888571,0.34889867,0.27998704,0.15838567,Hispanic
CA-40,760845,0.42251643,0.54851641,0.39824529,0.60175471,0.07769387,0.37367799,0.00866626,0.13701591,0.03304364,568642,-0.12599998,0.46505826,0.51569635,-0.05063809,-0.10587935,Minority
CA-41,759405,0.54315759,0.43564628,0.41269888,0.58730112,0.06312569,0.45705937,0.00440707,0.05214403,0.03777218,583154,0.10751131,0.57595365,0.40669908,0.16925457,0.1230924,Hispanic
CA-42,760838,0.54021158,0.42831204,0.18604722,0.81395278,0.03633579,0.53705173,0.00731646,0.23363716,0.03516394,592226,0.11189954,0.60985679,0.36880354,0.24105325,0.14995078,Hispanic
CA-43,759264,0.78864951,0.18092268,0.13099486,0.86900514,0.34114808,0.42746211,0.00604183,0.10018119,0.03456102,598825,0.60772683,0.8473994,0.1339975,0.7134019,0.63795185,Hispanic
CA-44,759574,0.67612962,0.29311085,0.08709321,0.91290679,0.16115587,0.65377324,0.00956986,0.09592962,0.03896386,571273,0.38301877,0.76946821,0.20696441,0.5625038,0.43784711,Hispanic
CA-45,759523,0.54034893,0.43072668,0.24376206,0.75623794,0.07387506,0.32487869,0.01098467,0.34771426,0.02705787,596832,0.10962225,0.57551047,0.40430626,0.17120421,0.12514957,Asian
CA-46,760674,0.53246411,0.43530368,0.27874754,0.72125246,0.02220485,0.53616754,0.00564698,0.15509195,0.03997011,584737,0.09716043,0.58478455,0.39345216,0.19133239,0.12355108,Hispanic
CA-47,760423,0.53654074,0.43211999,0.49325593,0.50674407,0.06739881,0.26896307,0.00919852,0.15384615,0.02755523,620100,0.10442075,0.57509055,0.40196269,0.17312786,0.12232312,Minority
CA-48,759962,0.55058327,0.41934428,0.53477376,0.46522624,0.05196081,0.26239154,0.00792564,0.12777599,0.0347614,606765,0.13123899,0.57180417,0.40468255,0.16712162,0.13819987,White
CA-49,759468,0.52975939,0.43333379,0.50911754,0.49088246,0.02662358,0.15616315,0.00491421,0.29505557,0.01625024,605591,0.0964256,0.56511241,0.41483234,0.15028007,0.10937709,White
CA-50,760079,0.54940831,0.42086994,0.60531023,0.39468977,0.03734579,0.2167012,0.00901889,0.1178412,0.02540325,621141,0.12853837,0.5754875,0.40062033,0.17486717,0.1389813,White
CA-51,760536,0.56398688,0.40564615,0.52277656,0.47722344,0.03276158,0.22138429,0.00861457,0.20645658,0.02429011,587029,0.15834073,0.58115596,0.39614345,0.18501251,0.16223132,White
CA-52,760092,0.54107048,0.4314065,0.45498233,0.54501767,0.09752812,0.31136034,0.01080769,0.12152435,0.030912,590968,0.10966398,0.57804032,0.39937572,0.1786646,0.12766419,Minority
CO-01,721072,0.55570834,0.41589876,0.70610176,0.29389824,0.02032852,0.19805439,0.00276317,0.04765576,0.03219661,561674,0.13980958,0.55890213,0.41168646,0.14721567,0.13727828,White
CO-02,721866,0.56725246,0.40680611,0.77840389,0.22159611,0.01320397,0.1354509,0.00245296,0.0368725,0.03210373,576039,0.16044635,0.57045445,0.40711728,0.16333717,0.15640996,White
CO-03,722295,0.53973017,0.43220072,0.65640774,0.34359226,0.04700645,0.23870336,0.00444113,0.02524926,0.04404454,575304,0.10752945,0.5526072,0.41726294,0.13534426,0.11180105,White
CO-04,722100,0.33428669,0.64069129,0.7238468,0.2761532,0.04593953,0.16411837,0.00555402,0.0362334,0.03357198,540689,-0.3064046,0.3284896,0.64077593,-0.31228633,-0.31336518,White
CO-05,721880,0.58135681,0.39210757,0.71188037,0.28811963,0.02859488,0.1833758,0.00264784,0.05180816,0.03087096,570277,0.18924924,0.59209715,0.38286934,0.20922781,0.19090876,White
CO-06,722249,0.63758462,0.33466866,0.69523704,0.30476296,0.09181672,0.12104896,0.0032025,0.07217273,0.02491263,571116,0.30291596,0.66163152,0.3146612,0.34697032,0.31260075,White
CO-07,721262,0.56386837,0.40768293,0.77544919,0.22455081,0.02037,0.13178506,0.00230798,0.04114012,0.03122129,582327,0.15618544,0.56013981,0.41208235,0.14805746,0.14847611,White
CO-08,720990,0.55223203,0.41904149,0.42670112,0.57329888,0.1270093,0.3728554,0.00590811,0.05448276,0.0397294,532150,0.13319054,0.60773166,0.3642408,0.24349086,0.16495731,Minority
CT-01,721980,0.57688612,0.40642079,0.61368483,0.38631517,0.16701456,0.15412002,0.00165985,0.05578402,0.01930373,577764,0.17046533,0.60803589,0.37382267,0.23421322,0.18671463,White
CT-02,721674,0.56137781,0.42183556,0.76882612,0.23117388,0.07588237,0.09647697,0.00174894,0.04454601,0.01706614,588358,0.13954225,0.57884809,0.40436805,0.17448004,0.14618818,White
CT-03,721388,0.567749,0.41280318,0.48386926,0.51613074,0.2262725,0.24095602,0.00197131,0.04504416,0.01725556,567643,0.15494582,0.61299413,0.37525452,0.23773961,0.17754375,Minority
