CD,TotalPop,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority,Density,State,District
AK-1,367244,367244,0.00149579,0.50398274,0.45992697,0.59584787,0.40415213,0.05667178,0.07256861,0.0307855,0.1080234,0.15070853,282698,0.04405577,White,15656,AK,1
AK-2,366147,366147,-0.00149579,0.34874692,0.60966986,0.63447043,0.36552957,0.02817493,0.0476438,0.00914469,0.0474337,0.23269752,271305,-0.26092294,White,1391,AK,2
AL-1,334283,334578,-0.00111658,0.23620002,0.75055095,0.77889794,0.22110206,0.12320899,0.03925549,0.00126065,0.02497696,0.02869037,262562,-0.51435093,White,1019484,AL,1
AL-2,334222,334954,0.00000597,0.23209007,0.75568103,0.75214459,0.24785541,0.1606711,0.03947129,0.00171799,0.01437078,0.03263801,258441,-0.52359096,White,241902,AL,2
AL-3,334249,334132,-0.00244811,0.55889275,0.42955436,0.42426944,0.57573056,0.50991499,0.03579005,0.00121824,0.01823513,0.01562572,260212,0.12933839,Black,342982,AL,3
AL-4,334802,334050,-0.00269292,0.56665241,0.42228369,0.46245044,0.53754956,0.46849471,0.0316517,0.00126517,0.02700775,0.01280935,266368,0.14436872,Black,215973,AL,4
AL-5,335203,335045,0.00027765,0.5590495,0.43147133,0.43163649,0.56836351,0.51539819,0.02155516,0.00090916,0.01058002,0.02392589,260680,0.12757817,Black,151519,AL,5
AL-6,335141,335141,0.00056426,0.37371428,0.61137768,0.63366722,0.36633278,0.27435991,0.03822938,0.00153957,0.03508149,0.01967818,261762,-0.23766340,White,523547,AL,6
AL-7,335766,335766,0.0024302,0.29405962,0.6946859,0.70704966,0.29295034,0.23107412,0.0289469,0.0011416,0.01060218,0.02243639,265417,-0.40062628,White,336273,AL,7
AL-8,335192,335192,0.00071652,0.1221282,0.86680139,0.87726434,0.12273566,0.03311933,0.05035753,0.00084961,0.00585499,0.03076272,260120,-0.74467319,White,261671,AL,8
AL-9,335358,335358,0.00121211,0.16150645,0.82591531,0.84006629,0.15993371,0.0349798,0.07237749,0.00114491,0.00809585,0.046359,257663,-0.66440886,White,338756,AL,9
AL-10,335311,335311,0.0010718,0.29305179,0.69155304,0.75165716,0.24834284,0.14884485,0.05111932,0.00115496,0.01351645,0.03415705,262347,-0.39850125,White,484123,AL,10
AL-11,334446,334446,-0.00151066,0.4824866,0.49253865,0.6075382,0.3924618,0.27216368,0.05657446,0.00248817,0.03871284,0.02797383,263246,-0.01005205,White,2975392,AL,11
AL-12,335917,335917,0.00288101,0.22214043,0.76521565,0.78246059,0.21753941,0.14827059,0.03340766,0.001003,0.0113995,0.02303045,259222,-0.54307522,White,331456,AL,12
AL-13,335195,335195,0.00072548,0.25045366,0.73419966,0.77905693,0.22094307,0.1181666,0.05466717,0.00095189,0.02088689,0.02498313,256333,-0.48374600,White,770526,AL,13
AL-14,334856,334856,-0.00028661,0.53965853,0.43901011,0.5844886,0.4155114,0.31604268,0.04609876,0.00087541,0.03902754,0.01524802,265018,0.10064842,White,4382660,AL,14
AL-15,334338,334338,-0.0018331,0.58546228,0.40336939,0.41436136,0.58563864,0.52259917,0.04016293,0.00119484,0.00754534,0.01799244,257775,0.18209289,Black,1684634,AL,15
AR-1,333919,333919,-0.00207636,0.54861322,0.4198166,0.43397668,0.56602332,0.50835883,0.03572329,0.00108581,0.00899287,0.01769102,257871,0.12879662,Black,150227,AR,1
AR-2,334656,334656,0.00012618,0.57115752,0.40363861,0.57607147,0.42392853,0.29541376,0.07033001,0.00120528,0.03430244,0.0263545,259690,0.16751891,White,2454787,AR,2
AR-3,334267,334267,-0.00103635,0.24389122,0.72815118,0.80474197,0.19525803,0.11005015,0.037729,0.00125869,0.0138337,0.02844471,253439,-0.48425996,White,219271,AR,3
AR-4,334792,334792,0.00053262,0.18964958,0.78379796,0.91252698,0.08747302,0.01073579,0.02417541,0.0027985,0.00682774,0.0360359,264070,-0.59414838,White,130505,AR,4
AR-5,335297,335297,0.00204182,0.22321357,0.74882498,0.82256965,0.17743035,0.03440847,0.06389643,0.0013246,0.02237797,0.05162439,256681,-0.52561141,White,175607,AR,5
AR-6,334682,334682,0.00020388,0.28825967,0.68463162,0.77401984,0.22598016,0.02599758,0.10444564,0.00436329,0.02599758,0.06460988,252562,-0.39637195,White,352325,AR,6
AR-7,334800,334800,0.00055653,0.48755043,0.47919308,0.64259014,0.35740986,0.04158929,0.19426424,0.02599783,0.05646529,0.0449174,248790,0.00835735,White,4734275,AR,7
AR-8,334396,334396,-0.00065083,0.31838343,0.65545982,0.79408654,0.20591346,0.09969967,0.05197442,0.00115362,0.0154239,0.03443171,260051,-0.33707639,White,461428,AR,8
AR-9,334715,334715,0.0003025,0.29298807,0.67641989,0.67281442,0.32718558,0.23801034,0.05384785,0.00166719,0.00707783,0.02733493,259119,-0.38343182,White,95995,AR,9
AZ-1,324756,324756,-0.00096064,0.58320761,0.40019031,0.44247273,0.55752727,0.01562923,0.10077823,0.00302892,0.01847237,0.42764718,247613,0.18301730,Minority,29257,AZ,1
AZ-2,324721,324721,-0.00106831,0.41911131,0.56465328,0.66788553,0.33211447,0.038962,0.23468614,0.00452404,0.03186279,0.03068413,257071,-0.14554197,White,106141,AZ,2
AZ-3,325564,325564,0.00152499,0.61213729,0.37404652,0.30852504,0.69147496,0.03032139,0.59147048,0.00254169,0.01819446,0.07112676,245899,0.23809077,Hispanic,114696,AZ,3
AZ-4,324551,324551,-0.00159127,0.26991148,0.71649671,0.7063876,0.2936124,0.01789933,0.21190119,0.00439275,0.02178261,0.04339163,264982,-0.44658523,White,62918,AZ,4
AZ-5,325448,325448,0.00116815,0.35780678,0.62621094,0.73234006,0.26765994,0.04173653,0.16432427,0.00562007,0.03422638,0.02787872,239143,-0.26840416,White,2819168,AZ,5
AZ-6,324580,324580,-0.00150206,0.51664845,0.47113664,0.77351092,0.22648908,0.03209534,0.10724541,0.00264474,0.05162543,0.03541315,273373,0.04551181,White,5000396,AZ,6
AZ-7,325698,325698,0.00193722,0.75613146,0.22761682,0.27139697,0.72860303,0.15079189,0.51292914,0.00562082,0.04060875,0.05066266,239111,0.52851464,Hispanic,13033643,AZ,7
