id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
AK-1,244536,0.47174802,0.48749699,0.5502973,0.4497027,0.0182717,0.04248942,0.01037438,0.06675592,0.3175676,184493,-0.01574897,White
AK-2,244178,0.52225609,0.44418394,0.55830073,0.44169927,0.06969723,0.07856885,0.04058939,0.12779597,0.14238178,188128,0.07807215,White
AK-3,244677,0.29969841,0.65850652,0.73889361,0.26110639,0.03959599,0.05965862,0.00900861,0.03886273,0.11226031,181382,-0.35880811,White
AL-1,296417,0.32222927,0.66305867,0.68091405,0.31908595,0.22554807,0.033077,0.00135321,0.03074282,0.02719995,228346,-0.3408294,White
AL-2,296062,0.22750922,0.75969664,0.80164021,0.19835979,0.11188336,0.0384951,0.00112184,0.01119263,0.03191448,232653,-0.53218742,White
AL-3,296075,0.25822905,0.72999219,0.69284454,0.30715546,0.22632462,0.04086089,0.00194347,0.01601506,0.0253044,228972,-0.47176314,White
AL-4,294721,0.61857729,0.36903509,0.40110244,0.59889756,0.52257456,0.03536645,0.00150569,0.02991048,0.01483193,231123,0.2495422,Black
AL-5,295766,0.58973355,0.40015074,0.41414773,0.58585227,0.52167741,0.02661544,0.00121552,0.02792646,0.01335764,230355,0.18958281,Black
AL-6,295480,0.60095979,0.39002826,0.42036782,0.57963218,0.51855935,0.03108334,0.00090658,0.01127053,0.02217077,234949,0.21093153,Black
AL-7,295207,0.32073077,0.66573806,0.67377819,0.32622181,0.24845996,0.03413273,0.00108481,0.02316842,0.02041335,232299,-0.34500729,White
AL-8,295665,0.20641551,0.7812153,0.80182592,0.19817408,0.12223039,0.04045133,0.00100413,0.01121715,0.02326667,227063,-0.57479979,White
AL-9,295923,0.2518125,0.73633256,0.75326601,0.24673399,0.17965714,0.03088406,0.0011483,0.01081456,0.0250783,233389,-0.48452006,White
AL-10,295861,0.30825417,0.67649646,0.72111076,0.27888924,0.18297507,0.05043872,0.00113897,0.02198645,0.0222011,228277,-0.36824229,White
AL-11,295026,0.64234755,0.34219829,0.41095272,0.58904728,0.50636362,0.04295661,0.00084212,0.0283281,0.01471099,230372,0.30014926,Black
AL-12,295389,0.60315716,0.37839973,0.50149629,0.49850371,0.41193564,0.04960049,0.00132089,0.02258938,0.01617981,230905,0.22475743,White
AL-13,295996,0.14590452,0.84249214,0.85365768,0.14634232,0.06544175,0.04024895,0.00076156,0.00761561,0.02883429,228478,-0.69658762,White
AL-14,295285,0.19486558,0.79051672,0.81899296,0.18100704,0.05036964,0.07416611,0.00122917,0.01078402,0.04792013,226168,-0.59565114,White
AL-15,295103,0.15888563,0.82884176,0.84011857,0.15988143,0.06345823,0.05715469,0.00086314,0.00730617,0.03075917,229395,-0.66995613,White
AL-16,295349,0.28269967,0.70211809,0.77164473,0.22835527,0.1394129,0.0396514,0.00111475,0.01341589,0.03470848,231442,-0.41941842,White
AL-17,294954,0.51037551,0.46439032,0.58370676,0.41629324,0.29240707,0.05983346,0.00265688,0.04056142,0.02740149,232980,0.04598519,White
AR-1,300803,0.61318754,0.35679557,0.39598847,0.60401153,0.52408416,0.05768664,0.00115775,0.01012496,0.01841717,234075,0.25639197,Black
AR-2,301792,0.55432049,0.42018696,0.58833097,0.41166903,0.29806886,0.05284535,0.00124548,0.03636729,0.02619798,233644,0.13413353,White
AR-3,301320,0.26648137,0.7041921,0.80809955,0.19190045,0.09771639,0.03976167,0.00131973,0.01466508,0.03369005,229593,-0.43771073,White
AR-4,301975,0.26717903,0.7040151,0.78539144,0.21460856,0.13905035,0.0340191,0.00299141,0.01077781,0.02433305,228989,-0.43683607,White
AR-5,301961,0.20830099,0.76431537,0.88443779,0.11556221,0.02311244,0.03830743,0.00106654,0.00853646,0.03906446,239092,-0.55601438,White
AR-6,301035,0.50230351,0.46431424,0.6370142,0.3629858,0.04186675,0.20068053,0.0264971,0.05538404,0.04436765,225119,0.03798927,White
AR-7,302027,0.28538641,0.6867348,0.81229107,0.18770893,0.0135993,0.08273931,0.00595846,0.02363667,0.059532,228247,-0.40134839,White
AR-8,300341,0.24408123,0.72848254,0.77120403,0.22879597,0.03914186,0.09362084,0.00214098,0.03352014,0.05972855,228400,-0.48440131,White
AR-9,300161,0.29323285,0.68212216,0.79944136,0.20055864,0.10198128,0.04823162,0.00125138,0.01222767,0.03394536,234141,-0.38888931,White
AR-10,300109,0.28203297,0.6878462,0.66954579,0.33045421,0.23557732,0.05773835,0.00164954,0.00698783,0.02886485,230973,-0.40581323,White
AZ-1,286561,0.58469658,0.39954823,0.40467108,0.59532892,0.0141998,0.09370012,0.00287708,0.01478914,0.47792534,215496,0.18514835,Native
AZ-2,285913,0.36834998,0.61615346,0.79425033,0.20574967,0.01274937,0.12249277,0.003316,0.02151457,0.04402933,240953,-0.24780348,White
AZ-3,285510,0.25417719,0.73287901,0.7458401,0.2541599,0.01546313,0.17416548,0.00429108,0.01967381,0.04478976,236304,-0.47870182,White
AZ-4,285932,0.55567559,0.43080275,0.34977601,0.65022399,0.02672185,0.56404395,0.00280215,0.01652256,0.05571123,216976,0.12487284,Hispanic
AZ-5,285470,0.72513641,0.26060207,0.27189076,0.72810924,0.04557073,0.61866581,0.00283234,0.02599765,0.07178944,217135,0.46453434,Hispanic
AZ-6,286742,0.60882586,0.37410301,0.62753658,0.37246342,0.068912,0.2242665,0.00528053,0.0536348,0.03522349,233878,0.23472285,White
AZ-7,286661,0.56108052,0.42489218,0.69224481,0.30775519,0.03172559,0.19739333,0.00302854,0.05588194,0.02705782,236087,0.13618834,White
AZ-8,286677,0.38003724,0.60382616,0.65423346,0.34576654,0.03431512,0.25384294,0.00464355,0.0268205,0.03460868,224828,-0.22378892,White
AZ-9,286716,0.36899627,0.61556615,0.65108733,0.34891267,0.05065348,0.23685845,0.0076284,0.02449189,0.03824551,222196,-0.24656988,White
AZ-10,285070,0.60893025,0.37548081,0.29113293,0.70886707,0.10353655,0.50737693,0.00584251,0.0329837,0.09048761,196491,0.23344944,Hispanic
AZ-11,285540,0.74987509,0.2331257,0.24520432,0.75479568,0.15907723,0.53236689,0.00613095,0.03931418,0.05227442,207635,0.51674939,Hispanic
AZ-12,285769,0.67129498,0.31363417,0.21078525,0.78921475,0.09041086,0.64151353,0.00485417,0.04167719,0.03872226,197974,0.35766081,Hispanic
AZ-13,285759,0.67894974,0.30297077,0.31680183,0.68319817,0.10543924,0.50211377,0.00363798,0.04803194,0.05116665,208632,0.37597897,Hispanic
AZ-14,286654,0.5151429,0.47247589,0.75620798,0.24379202,0.03597835,0.11221383,0.00265509,0.05811377,0.03834349,241423,0.04266701,White
AZ-15,286495,0.59611828,0.38909974,0.65154319,0.34845681,0.06007032,0.20792351,0.00318984,0.0488651,0.03901652,232927,0.20701854,White
AZ-16,286140,0.47614966,0.50715192,0.6804384,0.3195616,0.05237328,0.16347053,0.00379884,0.07509508,0.0295045,224542,-0.03100226,White
AZ-17,285475,0.44042026,0.54350333,0.65272006,0.34727994,0.0562762,0.20539956,0.00418263,0.05986839,0.03050435,221870,-0.10308307,White
