HD,NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct2,RepPct2,Margin2,Swing,Majority,Lean,Seats,State
AZ-01,1,241318,0.01231042,0.64425425,0.3423219,0.38857809,0.61142191,0.01890409,0.10572545,0.00317842,0.02153488,0.4716895,186256,0.30193235,0.6790887,0.30267524,0.37641346,-0.07448111,Native,0.32175939,2,AZ
AZ-02,2,239139,0.00316968,0.54498735,0.4451847,0.2258872,0.7741128,0.02239857,0.6808687,0.00238403,0.01394092,0.07421724,176172,0.09980265,0.6165988,0.36914982,0.24744898,-0.14764633,Hispanic,0.14401809,2,AZ
AZ-03,3,236209,-0.00912144,0.32607997,0.66495763,0.80982846,0.19017154,0.01066106,0.1180098,0.00313856,0.01858027,0.03690443,199136,-0.33887766,0.34633189,0.63906131,-0.29272942,-0.04614824,White,-0.32849491,2,AZ
AZ-04,4,237644,-0.00310173,0.60823647,0.38149808,0.34935672,0.65064328,0.04233817,0.56290188,0.00280873,0.02082822,0.05145154,183357,0.22673839,0.65159915,0.33539446,0.31620469,-0.0894663,Hispanic,0.25156049,2,AZ
AZ-05,5,238486,0.0004304,0.56448982,0.42179828,0.61345938,0.38654062,0.06826897,0.24378572,0.00543716,0.04744966,0.03747797,187230,0.14269154,0.57872228,0.40385727,0.17486501,-0.03217347,White,0.14841603,2,AZ
AZ-06,6,238122,-0.00109655,0.56057243,0.42868102,0.73950794,0.26049206,0.03632931,0.14927247,0.00341724,0.05169691,0.02407508,200747,0.13189141,0.55297731,0.43396451,0.1190128,0.01287861,White,0.12259854,2,AZ
AZ-07,7,240009,0.00681927,0.60765864,0.37925882,0.50546357,0.49453643,0.04257104,0.37277842,0.00334557,0.05023496,0.0472291,194287,0.22839982,0.63126825,0.35342199,0.27784626,-0.04944644,White,0.23988197,2,AZ
AZ-08,8,238261,-0.00051346,0.29368781,0.69648244,0.63323354,0.36676646,0.03020682,0.18811283,0.00479552,0.02315911,0.12755088,182045,-0.40279463,0.30577589,0.67786242,-0.37208653,-0.0307081,White,-0.3975586,2,AZ
AZ-09,9,237395,-0.00414626,0.43413728,0.55625524,0.56139301,0.43860699,0.06092988,0.26743516,0.0046313,0.02953868,0.09548391,177056,-0.12211796,0.45024063,0.53426047,-0.08401984,-0.03809812,White,-0.11441859,2,AZ
AZ-10,10,239767,0.0058041,0.22399811,0.76957441,0.76335045,0.23664955,0.01514199,0.15304424,0.00443548,0.01937129,0.04814157,198851,-0.5455763,0.2429666,0.74441232,-0.50144572,-0.04413058,White,-0.53586611,2,AZ
AZ-11,11,239436,0.00441558,0.34434878,0.64701145,0.59044969,0.40955031,0.05281054,0.30277747,0.00486609,0.02533341,0.03503251,181460,-0.30266267,0.36682659,0.61814314,-0.25131655,-0.05134612,White,-0.2905473,2,AZ
AZ-12,12,237277,-0.00464126,0.55479041,0.43518583,0.3154522,0.6845478,0.10329802,0.51638311,0.00687187,0.04920284,0.03444258,168222,0.11960458,0.60772372,0.37746886,0.23025486,-0.11065028,Hispanic,0.15148801,2,AZ
AZ-13,13,240897,0.01054436,0.35633237,0.6343404,0.65893136,0.34106864,0.04992469,0.22977598,0.00820724,0.02452058,0.03616612,187883,-0.27800803,0.3766485,0.6082478,-0.2315993,-0.04640873,White,-0.26753845,2,AZ
AZ-14,14,241500,0.0130739,0.3822819,0.60670508,0.75264081,0.24735919,0.03172083,0.15701137,0.00438405,0.02714481,0.03157556,192744,-0.22442318,0.38100664,0.60224313,-0.22123649,-0.00318669,White,-0.22836095,2,AZ
AZ-15,15,237870,-0.00215367,0.40388859,0.58799186,0.68411477,0.31588523,0.06488427,0.18753303,0.00505521,0.04170003,0.02486749,183573,-0.18410327,0.41848014,0.56910108,-0.15062094,-0.03348233,White,-0.17794249,2,AZ
AZ-16,16,236197,-0.00917178,0.61781808,0.37055222,0.1997616,0.8002384,0.09466812,0.65409819,0.00371805,0.0352782,0.04118879,161913,0.24726586,0.68102881,0.30259281,0.378436,-0.13117014,Hispanic,0.28598924,2,AZ
AZ-17,17,236819,-0.00656254,0.36949427,0.62078676,0.72524116,0.27475884,0.04203032,0.1600712,0.00624139,0.04701424,0.02642972,174160,-0.25129249,0.3782254,0.60491406,-0.22668866,-0.02460383,White,-0.24809121,2,AZ
AZ-18,18,240669,0.00958792,0.41422177,0.57523449,0.71228139,0.28771861,0.0468255,0.12976523,0.00488563,0.09015794,0.02028525,172342,-0.16101272,0.42262212,0.56317914,-0.14055702,-0.0204557,White,-0.15919415,2,AZ
AZ-19,19,240541,0.00905097,0.52112172,0.46412945,0.51653818,0.48346182,0.06681446,0.3254089,0.00725165,0.0497524,0.05448941,181338,0.05699227,0.54131705,0.43535086,0.10596619,-0.04897392,White,0.06831691,2,AZ
AZ-20,20,239493,0.00465469,0.5293163,0.45583462,0.55705779,0.44294221,0.07142427,0.21378525,0.00511112,0.13018303,0.03503284,182543,0.07348168,0.55133588,0.43106538,0.1202705,-0.04678882,White,0.08407795,2,AZ
