NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct2,RepPct2,Margin2,Swing,Majority,Lean,State,Seats
AK-1,18068,-0.01455022,0.54989281,0.40567141,0.68388139,0.31611861,0.01770658,0.05016863,0.01988477,0.08249016,0.16266161,14232,0.1442214,0.56405405,0.39630631,0.16774774,-0.02352634,White,0.14706351,AK,1
AK-2,17602,-0.0399664,0.66019618,0.29571502,0.64420311,0.35579689,0.02100115,0.05516398,0.01452819,0.09141254,0.19390104,13904,0.36448116,0.66443679,0.303394,0.36104279,0.00343837,White,0.35833504,AK,1
AK-3,17929,-0.02213144,0.37641565,0.58260362,0.64097277,0.35902723,0.01550167,0.0389675,0.00839081,0.08746356,0.21432127,14063,-0.20618797,0.38780207,0.57275866,-0.18495659,-0.02123138,White,-0.20411084,AK,1
AK-4,18687,0.01921076,0.49860946,0.45341677,0.57774578,0.42225422,0.01302619,0.03805019,0.00644454,0.0520362,0.32332374,14586,0.04519269,0.52732575,0.43796444,0.08936131,-0.04416862,White,0.05491556,AK,1
AK-5,18824,0.0266829,0.41396055,0.51229135,0.26061527,0.73938473,0.02149639,0.0414736,0.02354728,0.04671477,0.61959742,13165,-0.0983308,0.49615385,0.44004525,0.0561086,-0.1544394,Native,-0.051851,AK,1
AK-6,18414,0.00432102,0.51968864,0.39903846,0.11514789,0.88485211,0.00760814,0.01145495,0.00341939,0.01487434,0.85689862,11698,0.12065018,0.59900717,0.33517191,0.26383526,-0.14318508,Native,0.16337854,AK,1
AK-7,17422,-0.04978381,0.51012753,0.39009752,0.1105403,0.8894597,0.01045173,0.0108946,0.0020372,0.01948627,0.85376439,11290,0.12003001,0.60591543,0.331181,0.27473443,-0.15470442,Native,0.16659815,AK,1
AK-8,17696,-0.03483953,0.43566484,0.51396515,0.25270551,0.74729449,0.04988175,0.1009102,0.02078406,0.16491077,0.42607325,13953,-0.07830031,0.51952299,0.43835353,0.08116946,-0.15946977,Native,-0.03014372,AK,1
AK-9,17967,-0.02005888,0.5211893,0.4283232,0.65519485,0.34480515,0.01388186,0.02393175,0.00195214,0.02075049,0.27640807,13831,0.0928661,0.56100268,0.39228564,0.16871704,-0.07585094,White,0.11314975,AK,1
AK-10,18506,0.00933881,0.48568893,0.46971378,0.66197085,0.33802915,0.05031228,0.05891742,0.00777238,0.06599584,0.15857044,14410,0.01597515,0.50041511,0.45651723,0.04389788,-0.02792273,White,0.02028273,AK,1
AK-11,17973,-0.01973163,0.44915489,0.50886672,0.54688393,0.45311607,0.09691252,0.07325615,0.01579474,0.06911092,0.2109777,13992,-0.05971183,0.45800165,0.49533352,-0.03733187,-0.02237996,White,-0.05725184,AK,1
AK-12,18265,-0.00380561,0.30812417,0.64811757,0.67405342,0.32594658,0.07873496,0.11791899,0.01181391,0.04285295,0.06626064,13628,-0.3399934,0.32681522,0.62028195,-0.29346673,-0.04652667,White,-0.32948451,AK,1
AK-13,18324,-0.00058768,0.2279054,0.73882539,0.75155886,0.24844114,0.03643603,0.0537901,0.00916535,0.04545113,0.09954173,13311,-0.51091999,0.22646485,0.72422887,-0.49776402,-0.01315597,White,-0.51153467,AK,1
AK-14,18390,0.00301204,0.27264121,0.69412012,0.76249286,0.23750714,0.02905483,0.05718161,0.00685323,0.03590805,0.10372644,14008,-0.42147891,0.27751491,0.67907838,-0.40156347,-0.01991544,White,-0.41984043,AK,1
AK-15,19132,0.04348158,0.25588563,0.70952829,0.82629545,0.17370455,0.01209562,0.0288434,0.00357859,0.02311766,0.09189808,13972,-0.45364266,0.24605794,0.71800513,-0.47194719,0.01830453,White,-0.46474417,AK,1
AK-16,17912,-0.02305864,0.24922696,0.71985158,0.75993574,0.24006426,0.01829992,0.02828805,0.01019767,0.02025564,0.15974017,14317,-0.47062462,0.27824726,0.69097548,-0.41272822,-0.0578964,White,-0.45632582,AK,1
AK-17,18364,0.00159397,0.19945413,0.77031283,0.78983025,0.21016975,0.01370176,0.04072467,0.00631803,0.02519601,0.11973814,13137,-0.5708587,0.19997681,0.76037561,-0.5603988,-0.0104599,White,-0.57237207,AK,1
AK-18,17795,-0.02943996,0.2138832,0.7553791,0.77522792,0.22477208,0.01909777,0.04212512,0.009431,0.03237975,0.12000943,12724,-0.5414959,0.22086871,0.74492433,-0.52405562,-0.01744028,White,-0.54068247,AK,1
AK-19,18077,-0.01405935,0.22116474,0.74439157,0.77125315,0.22874685,0.02392947,0.04691436,0.01046914,0.03172229,0.11649874,12704,-0.52322683,0.20618081,0.7533441,-0.54716329,0.02393646,White,-0.53620565,AK,1
