id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct_2,RepPct_2,Margin_2,Lean,Majority
AK-AL,733391,0.41406128,0.54544809,0.61476201,0.38523799,0.04271638,0.06036249,0.02018762,0.07835156,0.19085998,554003,-0.13138681,0.43006525,0.53122894,-0.10116369,-0.12631244,White
AL-01,717488,0.32916421,0.65862159,0.65630926,0.34369074,0.26256636,0.03185724,0.00114704,0.01841895,0.02873335,557958,-0.32945738,0.35931541,0.62800838,-0.26869297,-0.31420258,White
AL-02,718336,0.39116661,0.59788513,0.55225998,0.44774002,0.3700819,0.0366541,0.0016449,0.02201506,0.02150563,557482,-0.20671852,0.41784825,0.57067599,-0.15282774,-0.19375493,White
AL-03,717944,0.33449227,0.64765555,0.70350744,0.29649256,0.2034932,0.04583819,0.00104166,0.02617137,0.02011909,561606,-0.31316328,0.35218585,0.63063787,-0.27845202,-0.30659286,White
AL-04,717892,0.32547513,0.66305139,0.66111173,0.33888827,0.25303703,0.04681545,0.00106443,0.00943703,0.02900404,559922,-0.33757626,0.35974197,0.62737704,-0.26763507,-0.31926253,White
AL-05,717434,0.32597123,0.65719816,0.71512048,0.28487952,0.16390636,0.06383589,0.00174637,0.02328559,0.03649456,557727,-0.33122693,0.33518572,0.64574079,-0.31055507,-0.32933631,White
AL-06,717117,0.34189268,0.64733879,0.65326786,0.34673214,0.27807456,0.03742328,0.00085041,0.01336863,0.01878887,563259,-0.30544611,0.36674871,0.62231349,-0.25556478,-0.29381900,White
AL-07,718068,0.34557304,0.6423812,0.64091972,0.35908028,0.28173573,0.03578071,0.00124997,0.02120841,0.02077387,559212,-0.29680816,0.37406261,0.61273223,-0.23866962,-0.28242865,White
AR-01,752351,0.32996546,0.65233354,0.63318706,0.36681294,0.28645983,0.04398234,0.00136166,0.00862039,0.0265874,583848,-0.32236808,0.35115294,0.61902999,-0.26787705,-0.30920440,White
AR-02,752536,0.31577458,0.66244548,0.76628055,0.23371945,0.11851891,0.05920557,0.00128972,0.01863933,0.03490791,584624,-0.34667090,0.32932203,0.64483222,-0.31551019,-0.34128400,White
AR-03,753678,0.36095477,0.61182937,0.71652272,0.28347728,0.03560114,0.13846376,0.01328295,0.04184748,0.05644109,566892,-0.25087460,0.36666722,0.60331233,-0.23664511,-0.25113144,White
AR-04,752959,0.33545292,0.64217846,0.74519552,0.25480448,0.16494456,0.04024205,0.00210432,0.01574945,0.02944139,576909,-0.30672554,0.34561712,0.62663392,-0.28101680,-0.30315596,White
AZ-01,794208,0.40300116,0.58660037,0.6161411,0.3838589,0.01904806,0.1541047,0.00358173,0.01995579,0.19166919,630143,-0.18359921,0.43278203,0.55130601,-0.11852398,-0.16690747,White
AZ-02,794809,0.42440149,0.56671036,0.78200621,0.21799379,0.03070342,0.10026398,0.00281366,0.06395963,0.02006522,644000,-0.14230887,0.44339124,0.54448476,-0.10109352,-0.13357042,White
AZ-03,794615,0.66808024,0.31873374,0.19457354,0.80542646,0.11977784,0.63056792,0.00473962,0.03653389,0.04598243,553842,0.34934650,0.73456946,0.24960825,0.48496121,0.38955140,Hispanic
AZ-04,795201,0.59878078,0.38637354,0.53734142,0.46265858,0.07917124,0.25633833,0.00567039,0.08377863,0.05642464,630292,0.21240724,0.62037257,0.36021783,0.26015474,0.22332307,White
AZ-05,793932,0.40014516,0.58907916,0.71822226,0.28177774,0.04178326,0.15016955,0.00525658,0.06433841,0.02598994,593922,-0.18893400,0.40832183,0.57573281,-0.16741098,-0.18675966,White
AZ-06,794245,0.42813764,0.5618004,0.64631953,0.35368047,0.05004894,0.2264193,0.00547428,0.03376267,0.04971564,615058,-0.13366276,0.43895963,0.54571732,-0.10675769,-0.12969440,White
AZ-07,793975,0.63857846,0.34926133,0.44531787,0.55468213,0.04353631,0.43775322,0.00326439,0.03623618,0.0544097,631358,0.28931713,0.6678239,0.31822009,0.34960381,0.30441269,Minority
AZ-08,795444,0.42011234,0.57065483,0.66986945,0.33013055,0.05686071,0.20422812,0.00434797,0.04396063,0.02928684,625810,-0.15054249,0.43806247,0.54778936,-0.10972689,-0.14193729,White
AZ-09,795073,0.38625298,0.60473766,0.57537272,0.42462728,0.05747056,0.29875913,0.00476398,0.03474855,0.0417844,617551,-0.21848468,0.41613758,0.56864391,-0.15250633,-0.20149190,White
CA-01,760399,0.4282534,0.53951458,0.696392,0.303608,0.02187292,0.1732826,0.00588931,0.03480898,0.07356776,607372,-0.11126118,0.45823114,0.51573755,-0.05750641,-0.09834292,White
CA-02,759814,0.74738901,0.22149369,0.64933274,0.35066726,0.02711204,0.22229848,0.00669794,0.07051713,0.03602411,611979,0.52589532,0.77364318,0.2042243,0.56941888,0.53540317,White
CA-03,760686,0.42907512,0.5413072,0.64950455,0.35049545,0.02930061,0.1733144,0.00745921,0.10732421,0.04369308,583708,-0.11223208,0.45156111,0.52303075,-0.07146964,-0.10364460,White
CA-04,759300,0.68996976,0.27786329,0.33607742,0.66392258,0.15095122,0.28900823,0.01370881,0.20716847,0.035187,602751,0.41210647,0.7374154,0.24142867,0.49598673,0.43506656,Minority
CA-05,759224,0.44149024,0.52937222,0.7214158,0.2785842,0.04043909,0.13602862,0.0076901,0.05932991,0.03984692,612996,-0.08788198,0.45973534,0.51552326,-0.05578792,-0.08218396,White
