id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct_2,RepPct_2,Margin_2,Swing,Majority,Lean
AK-AL,733391,0.41406128,0.54544809,0.61476201,0.38523799,0.04271638,0.06036249,0.02018762,0.07835156,0.19085998,554003,-0.13138681,0.43006525,0.53122894,-0.10116369,-0.03022312,White,-0.126312436666667
AL-1,557753,0.20209251,0.78755731,0.78177359,0.21822641,0.12697439,0.03841717,0.00132433,0.01734321,0.03211621,433426,-0.58546480,0.21956787,0.76824952,-0.54868165,-0.03678315,White,-0.57820375
AL-2,558525,0.51789694,0.4700296,0.47097795,0.52902205,0.46542786,0.02950047,0.00111593,0.01635481,0.02006396,439993,0.04786734,0.54912916,0.43997489,0.10915427,-0.06128693,Minority,0.0632963166666667
AL-3,558678,0.31458906,0.67356909,0.65659406,0.34340594,0.26512942,0.03371537,0.00147421,0.02483139,0.02028117,438880,-0.35898003,0.34760769,0.63949961,-0.29189192,-0.06708811,White,-0.341617326666667
AL-4,557320,0.15769744,0.83255464,0.83343614,0.16656386,0.07434575,0.05015766,0.00086082,0.00686353,0.03325891,434470,-0.67485720,0.17652044,0.81195857,-0.63543813,-0.03941907,White,-0.66671751
AL-5,559028,0.39055716,0.58935728,0.67998154,0.32001846,0.21022442,0.05040708,0.00206736,0.0302543,0.03010581,437756,-0.19880012,0.39949557,0.57818667,-0.17869110,-0.02010902,White,-0.197097113333333
AL-6,558172,0.24657189,0.73997846,0.76135024,0.23864976,0.14908696,0.04733557,0.00108981,0.0179457,0.02290235,428515,-0.49340657,0.25460144,0.73084386,-0.47624242,-0.01716415,White,-0.492685186666667
AL-7,558772,0.62673031,0.35308156,0.43986114,0.56013886,0.47564857,0.04668224,0.00107781,0.02574617,0.01494518,436997,0.27364875,0.6431549,0.3397836,0.30337130,-0.02972255,Black,0.278556266666667
AL-8,558773,0.49987316,0.48852314,0.45682444,0.54317556,0.47381192,0.03308824,0.00137018,0.0235199,0.01599307,436439,0.01135002,0.52744193,0.46118581,0.06625612,-0.05490610,Black,0.0246520533333333
AL-9,557258,0.17562682,0.81469543,0.81891151,0.18108849,0.0820358,0.05443591,0.00084283,0.00897629,0.0360143,430690,-0.63906861,0.18167704,0.8061526,-0.62447556,-0.01459305,White,-0.63920426
