,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority,PopDensity
0,1,733391.0,0.41406128,0.54544809,0.61476201,0.38523799,0.04271638,0.06036249,0.02018762,0.07835156,0.19085998,554003,-0.13138681000000008,White,2557.8759291532383
1,1,718010.0,0.2045242,0.78500734,0.77078221,0.22921779,0.13884584,0.0385079,0.00147804,0.01818309,0.03103161,557496,-0.5804831400000001,White,334309.79906663497
2,2,717922.0,0.53291317,0.45461668,0.44049518,0.55950482,0.486832,0.03189947,0.00132345,0.02933063,0.01478684,563677,0.07829649000000005,Black,232710.23052290652
3,3,717417.0,0.2493944,0.73626556,0.77652953,0.22347047,0.14214682,0.03901133,0.0009496,0.01759923,0.02241958,552865,-0.48687115999999997,White,507456.1646376339
4,4,717372.0,0.19285166,0.79524107,0.83062692,0.16937308,0.08612081,0.03863887,0.00098891,0.01037998,0.03270363,560213,-0.60238941,White,296398.76030072634
5,5,717515.0,0.54120642,0.44080889,0.50889318,0.49110682,0.39161781,0.05517843,0.00184613,0.02395321,0.02363183,560092,0.10039752999999996,White,2084672.1056168322
6,6,718061.0,0.18068373,0.8097667,0.78771821,0.21228179,0.11558111,0.05564285,0.0011385,0.00925705,0.03235747,556873,-0.62908297,White,366107.66031266743
7,7,717982.0,0.55649321,0.42689628,0.47390936,0.52609064,0.44528669,0.03940631,0.00101246,0.0249545,0.01856701,565950,0.12959692999999994,Minority,475298.18697421387
8,1,753544.0,0.20100012,0.77931072,0.86729837,0.13270163,0.05286275,0.0289678,0.00194184,0.00913524,0.03416265,581922,-0.5783106,White,151586.05418359247
9,2,753179.0,0.54863837,0.42773087,0.52448187,0.47551813,0.37680481,0.05590243,0.00115816,0.02268629,0.02307577,582819,0.12090750000000006,White,394701.72720354545
10,3,752286.0,0.36240413,0.61036366,0.71596476,0.28403524,0.03566838,0.1390563,0.01354426,0.04182438,0.05620312,565627,-0.24795952999999998,White,686378.5541530285
11,4,752515.0,0.26115218,0.71958885,0.75343054,0.24656946,0.13976852,0.05827412,0.00142119,0.01124582,0.03401414,581905,-0.45843666999999994,White,134016.25470080075
12,1,793623.0,0.51322787,0.47603679,0.61314953,0.38685047,0.06827421,0.23042326,0.00348737,0.05954063,0.03605795,626547,0.03719108000000004,White,7007399.56448057
13,2,795564.0,0.52249738,0.46596836,0.50828855,0.49171145,0.04908328,0.19769574,0.00522308,0.03895383,0.21439627,615729,0.056529019999999985,White,61389.13685544088
14,3,794222.0,0.54520121,0.44443181,0.33839586,0.66160414,0.08730199,0.51358324,0.0045292,0.04211128,0.03763797,572507,0.10076940000000001,Hispanic,15704660.461987725
15,4,795377.0,0.5240512,0.4618953,0.57462779,0.42537221,0.06914654,0.24063157,0.00602849,0.08353511,0.0405633,624037,0.06215590000000004,White,17991722.779720757
16,5,794913.0,0.34934128,0.64075793,0.73753464,0.26246536,0.03554712,0.15250441,0.00496329,0.04308347,0.03090715,590737,-0.29141665000000005,White,389115.3115894603
17,6,794933.0,0.52865889,0.459229,0.65462409,0.34537591,0.04803156,0.22244568,0.0044618,0.04895715,0.03213027,643910,0.06942989,White,403532.3862764181
18,7,794385.0,0.52688754,0.46303619,0.35803041,0.64196959,0.04419409,0.53940811,0.00357215,0.02244206,0.05581611,598519,0.06385135000000003,Hispanic,168750.8963373765
19,8,794716.0,0.5077296,0.4812701,0.62690349,0.37309651,0.06741392,0.22830308,0.00372621,0.04777092,0.03732232,631472,0.026459500000000025,White,17713898.120351043
20,9,793769.0,0.29628794,0.69627086,0.78504913,0.21495087,0.02364538,0.1237052,0.00380412,0.03058489,0.03421203,638518,-0.39998292,White,113634.67640470734
21,1,760069.0,0.56874352,0.3985946,0.63511145,0.36488855,0.02292648,0.24443565,0.00670254,0.05073943,0.05282883,596341,0.17014891999999993,White,284264.8472400572
22,2,760510.0,0.58171643,0.38705372,0.71860955,0.28139045,0.02751323,0.13675058,0.00586247,0.0539654,0.06199198,619193,0.19466270999999996,White,88722.3737981411
23,3,760220.0,0.53888034,0.42767861,0.61429023,0.38570977,0.06597678,0.16444687,0.01084169,0.12421618,0.03469944,597877,0.11120172999999994,White,1204781.2523329752
24,4,760406.0,0.58074892,0.3882525,0.55106571,0.44893429,0.03125778,0.26369842,0.00809552,0.12239715,0.04028067,594156,0.19249642,White,394865.6084267688
25,5,759374.0,0.36933645,0.60609095,0.56746546,0.43253454,0.02921679,0.28984787,0.00849667,0.07703168,0.0450629,585759,-0.23675450000000003,White,372676.14830637956
26,6,759270.0,0.53516708,0.43104926,0.56557938,0.43442062,0.08699893,0.1778212,0.01283988,0.13971472,0.03549211,590582,0.10411782000000003,White,12943529.429811517
27,7,760566.0,0.53269398,0.43541245,0.43883396,0.56116604,0.09921421,0.20424933,0.02022124,0.22520939,0.03727826,579292,0.09728153,Minority,163617.43323159375
28,8,760418.0,0.57323866,0.39775494,0.39392586,0.60607414,0.14808047,0.26632489,0.01662183,0.17404869,0.03556841,591030,0.17548372,Minority,1888687.8107007816
29,9,759311.0,0.53406055,0.43396322,0.30482667,0.69517333,0.09364854,0.37098543,0.0133045,0.21816558,0.03733175,560863,0.10009732999999998,Hispanic,3004684.896286046
30,10,760707.0,0.71758521,0.24959702,0.42579309,0.57420691,0.09769776,0.25685369,0.00951291,0.20269221,0.02890282,598765,0.46798818999999997,Minority,7788608.674977051
31,11,759871.0,0.81841547,0.14058104,0.44685009,0.55314991,0.06514956,0.13293645,0.00692056,0.34127543,0.01937757,664686,0.6778344300000001,Minority,61876201.96236846
32,12,759968.0,0.8461877,0.10554791,0.35225675,0.64774325,0.18111653,0.21208915,0.009324,0.24410707,0.03069398,620871,0.74063979,Minority,29323685.569137115
