,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
0,1,733391,0.41406128,0.54544809,0.61476201,0.38523799,0.04271638,0.06036249,0.02018762,0.07835156,0.19085998,554003,-0.13138681,White
1,1,717488,0.32916421,0.65862159,0.65630926,0.34369074,0.26256636,0.03185724,0.00114704,0.01841895,0.02873335,557958,-0.32945738,White
2,2,718336,0.39116661,0.59788513,0.55225998,0.44774002,0.3700819,0.0366541,0.0016449,0.02201506,0.02150563,557482,-0.20671852,White
3,3,717944,0.33449227,0.64765555,0.70350744,0.29649256,0.2034932,0.04583819,0.00104166,0.02617137,0.02011909,561606,-0.31316328,White
4,4,717892,0.32547513,0.66305139,0.66111173,0.33888827,0.25303703,0.04681545,0.00106443,0.00943703,0.02900404,559922,-0.33757626,White
5,5,717434,0.32597123,0.65719816,0.71512048,0.28487952,0.16390636,0.06383589,0.00174637,0.02328559,0.03649456,557727,-0.33122693,White
6,6,717117,0.34189268,0.64733879,0.65326786,0.34673214,0.27807456,0.03742328,0.00085041,0.01336863,0.01878887,563259,-0.30544611,White
7,7,718068,0.34557304,0.6423812,0.64091972,0.35908028,0.28173573,0.03578071,0.00124997,0.02120841,0.02077387,559212,-0.29680816,White
8,1,752351,0.32996546,0.65233354,0.63318706,0.36681294,0.28645983,0.04398234,0.00136166,0.00862039,0.0265874,583848,-0.32236808,White
9,2,752536,0.31577458,0.66244548,0.76628055,0.23371945,0.11851891,0.05920557,0.00128972,0.01863933,0.03490791,584624,-0.3466709,White
10,3,753678,0.36095477,0.61182937,0.71652272,0.28347728,0.03560114,0.13846376,0.01328295,0.04184748,0.05644109,566892,-0.2508746,White
11,4,752959,0.33545292,0.64217846,0.74519552,0.25480448,0.16494456,0.04024205,0.00210432,0.01574945,0.02944139,576909,-0.30672554,White
12,1,794208,0.40300116,0.58660037,0.6161411,0.3838589,0.01904806,0.1541047,0.00358173,0.01995579,0.19166919,630143,-0.18359921,White
13,2,794809,0.42440149,0.56671036,0.78200621,0.21799379,0.03070342,0.10026398,0.00281366,0.06395963,0.02006522,644000,-0.14230887,White
14,3,794615,0.66808024,0.31873374,0.19457354,0.80542646,0.11977784,0.63056792,0.00473962,0.03653389,0.04598243,553842,0.3493465,Hispanic
15,4,795201,0.59878078,0.38637354,0.53734142,0.46265858,0.07917124,0.25633833,0.00567039,0.08377863,0.05642464,630292,0.21240724,White
16,5,793932,0.40014516,0.58907916,0.71822226,0.28177774,0.04178326,0.15016955,0.00525658,0.06433841,0.02598994,593922,-0.188934,White
17,6,794245,0.42813764,0.5618004,0.64631953,0.35368047,0.05004894,0.2264193,0.00547428,0.03376267,0.04971564,615058,-0.13366276,White
18,7,793975,0.63857846,0.34926133,0.44531787,0.55468213,0.04353631,0.43775322,0.00326439,0.03623618,0.0544097,631358,0.28931713,Minority
19,8,795444,0.42011234,0.57065483,0.66986945,0.33013055,0.05686071,0.20422812,0.00434797,0.04396063,0.02928684,625810,-0.15054249,White
20,9,795073,0.38625298,0.60473766,0.57537272,0.42462728,0.05747056,0.29875913,0.00476398,0.03474855,0.0417844,617551,-0.21848468,White
21,1,760399,0.4282534,0.53951458,0.696392,0.303608,0.02187292,0.1732826,0.00588931,0.03480898,0.07356776,607372,-0.11126118,White
22,2,759814,0.74738901,0.22149369,0.64933274,0.35066726,0.02711204,0.22229848,0.00669794,0.07051713,0.03602411,611979,0.52589532,White
23,3,760686,0.42907512,0.5413072,0.64950455,0.35049545,0.02930061,0.1733144,0.00745921,0.10732421,0.04369308,583708,-0.11223208,White
24,4,759300,0.68996976,0.27786329,0.33607742,0.66392258,0.15095122,0.28900823,0.01370881,0.20716847,0.035187,602751,0.41210647,Minority
25,5,759224,0.44149024,0.52937222,0.7214158,0.2785842,0.04043909,0.13602862,0.0076901,0.05932991,0.03984692,612996,-0.08788198,White
26,6,759334,0.62797759,0.3344323,0.49786482,0.50213518,0.10806474,0.20484705,0.01444429,0.16364008,0.03600527,592691,0.29354529,Minority
27,7,760318,0.61446741,0.35200644,0.33889362,0.66110638,0.11249607,0.2493923,0.02324113,0.27543901,0.03336867,576349,0.26246097,Minority
28,8,760780,0.66240623,0.30554909,0.48389747,0.51610253,0.08452511,0.22261872,0.01083651,0.19207715,0.02648149,587920,0.35685714,Minority
29,9,759924,0.40592659,0.5679364,0.47965674,0.52034326,0.03758875,0.3676005,0.01186164,0.0862818,0.04242212,570410,-0.16200981,Minority
30,10,759602,0.58199339,0.38249992,0.2936621,0.7063379,0.08910997,0.3132645,0.01204774,0.29347422,0.03258598,558860,0.19949347,Hispanic
31,11,760790,0.81831523,0.14067656,0.44652805,0.55347195,0.06511426,0.13312876,0.00691701,0.34146253,0.01938205,665461,0.67763867,Minority
32,12,759921,0.84562381,0.10608029,0.35246864,0.64753136,0.18056327,0.21157039,0.00923274,0.2450459,0.03063839,621051,0.73954352,Minority
33,13,759885,0.41462592,0.56006451,0.37896484,0.62103516,0.04010688,0.46858748,0.00687848,0.08867351,0.05107198,558408,-0.14543859,Hispanic
34,14,760391,0.66260152,0.29635079,0.22765714,0.77234286,0.06765735,0.2308146,0.02002264,0.45813617,0.02443257,590032,0.36625073,Asian
35,15,760540,0.72088133,0.24409343,0.31753151,0.68246849,0.03332571,0.22696264,0.01529783,0.40483313,0.02072203,612440,0.4767879,Asian
36,16,759768,0.75111926,0.2105033,0.51849649,0.48150351,0.02690503,0.1446213,0.00842662,0.28799207,0.01995898,608548,0.54061596,White
37,17,759297,0.64198159,0.31988616,0.1773227,0.8226773,0.02725528,0.22203112,0.00725956,0.56732385,0.0210854,602929,0.32209543,Asian
38,18,760037,0.67490166,0.28788013,0.37526122,0.62473878,0.03843712,0.32887095,0.00825288,0.24545132,0.03333485,593853,0.38702153,Minority
39,19,760569,0.62258618,0.34679442,0.38707504,0.61292496,0.02878429,0.49443963,0.00756278,0.07586152,0.04384846,586292,0.27579176,Hispanic
40,20,759917,0.40503298,0.56855685,0.40033332,0.59966668,0.09740715,0.40664896,0.00459206,0.0729334,0.04529203,561622,-0.16352387,Hispanic
41,21,759972,0.51307194,0.45969467,0.26647876,0.73352124,0.06583975,0.52138745,0.00421598,0.13528585,0.04118473,544595,0.05337727,Hispanic
42,22,760278,0.40205983,0.57339312,0.28115958,0.71884042,0.04241127,0.61272431,0.00349154,0.04666554,0.04295925,540163,-0.17133329,Hispanic
43,23,759881,0.41988521,0.55312922,0.38001894,0.61998106,0.11055193,0.44341816,0.00727683,0.04543864,0.04595109,565906,-0.13324401,Hispanic
44,24,759421,0.64031577,0.32868517,0.43311135,0.56688865,0.02915203,0.43602104,0.00529824,0.0867128,0.03976021,598689,0.3116306,Hispanic
45,25,760338,0.41565311,0.55991172,0.49013284,0.50986716,0.03757332,0.38693357,0.00757275,0.06137678,0.03853457,588822,-0.14425861,Minority
46,26,760949,0.4329275,0.54089689,0.43230756,0.56769244,0.03025556,0.45220477,0.00476684,0.06529867,0.04006356,579629,-0.10796939,Hispanic
47,27,759776,0.47127375,0.49973673,0.46149797,0.53850203,0.06786371,0.32314184,0.00501704,0.13602364,0.02948271,590787,-0.02846298,Minority
48,28,759564,0.59010134,0.37650754,0.18564873,0.81435127,0.0357965,0.30040975,0.00429157,0.47796709,0.02327767,618189,0.2135938,Asian
49,29,760292,0.64206853,0.32623772,0.20762602,0.79237398,0.04862003,0.63870039,0.00309416,0.10300721,0.03778029,588852,0.31583081,Hispanic
50,30,760013,0.68273375,0.28093916,0.44639065,0.55360935,0.05266277,0.31340434,0.00360375,0.18316009,0.02693201,624350,0.40179459,Minority
51,31,760365,0.59221076,0.37770023,0.10033446,0.89966554,0.02308871,0.67788926,0.00346991,0.19904658,0.04015038,590505,0.21451053,Hispanic
52,32,759898,0.58739483,0.38330493,0.56382186,0.43617814,0.04517231,0.21849444,0.00400949,0.16054187,0.02029315,610551,0.2040899,White
53,33,760035,0.46535826,0.50701274,0.2997613,0.7002387,0.09046083,0.4950188,0.00612705,0.1043662,0.03668113,566831,-0.0416544799999999,Hispanic
54,34,759503,0.72548768,0.23613266,0.06626685,0.93373315,0.13947726,0.6469096,0.00254719,0.14931354,0.04490137,575929,0.48935502,Hispanic
55,35,760535,0.57243538,0.39793101,0.13240564,0.86759436,0.0910946,0.68876801,0.00501831,0.08560331,0.04242183,558156,0.17450437,Hispanic
56,36,760429,0.68499284,0.28147874,0.55632016,0.44367984,0.05136787,0.1601483,0.00625268,0.21601118,0.01925025,629810,0.4035141,White
57,37,760155,0.73891691,0.23049081,0.59531925,0.40468075,0.07331911,0.16901109,0.00365442,0.1488913,0.01878373,658655,0.5084261,White
58,38,759661,0.69452581,0.26598124,0.08881136,0.91118864,0.04670264,0.7797024,0.00272201,0.08490941,0.0437052,588168,0.42854457,Hispanic
59,39,760170,0.59741097,0.37941906,0.2969836,0.7030164,0.08839796,0.54298235,0.0049749,0.06246242,0.03668594,572072,0.21799191,Hispanic
60,40,760599,0.45665259,0.51189731,0.49616699,0.50383301,0.03083825,0.25350793,0.00511677,0.20603065,0.02323028,602920,-0.05524472,Minority
61,41,760648,0.4592435,0.50804126,0.39489407,0.60510593,0.06104571,0.42539167,0.00676737,0.10524702,0.03424448,574078,-0.04879776,Hispanic
62,42,759672,0.64327175,0.32362198,0.25654306,0.74345694,0.11425539,0.41500057,0.01201051,0.20480088,0.0339269,601057,0.31964977,Hispanic
63,43,759612,0.78866837,0.18164495,0.07513674,0.92486326,0.38351419,0.45928048,0.00681169,0.08335477,0.03553586,590896,0.60702342,Hispanic
64,44,759848,0.62879411,0.33933671,0.11402264,0.88597736,0.09943346,0.67319785,0.00982014,0.1095322,0.04068047,577894,0.2894574,Hispanic
