,id,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
0,1,35670,-0.02725831,0.60285184,0.35281418,0.66427353,0.33572647,0.01933466,0.05263719,0.0172377,0.08689935,0.17809923,28136,0.25003766000000005,White
1,2,36616,-0.00146034,0.44187671,0.51351642,0.60878216,0.39121784,0.01424133,0.03850047,0.00739991,0.06942651,0.26981745,28649,-0.07163970999999997,White
2,3,37238,0.01550196,0.47395221,0.44796971,0.19217311,0.80782689,0.01496199,0.02734988,0.01407714,0.0317339,0.73124723,24863,0.025982499999999964,Native
3,4,35118,-0.04231167,0.47177419,0.45369013,0.18912174,0.81087826,0.03224656,0.06065048,0.01239948,0.09986927,0.61735927,25243,0.018084059999999957,Native
4,5,36357,-0.00852342,0.40206653,0.55609879,0.70918496,0.29081504,0.02151658,0.04066238,0.00441826,0.02837746,0.1895183,27839,-0.15403225999999998,White
5,6,36479,-0.00519641,0.46864402,0.48757477,0.60527428,0.39472572,0.07326949,0.06598127,0.01172453,0.06753046,0.18438842,28402,-0.018930749999999996,White
6,7,36589,-0.00219665,0.26006858,0.70241377,0.71235012,0.28764988,0.05783437,0.08623186,0.01050522,0.04413675,0.08270537,26939,-0.44234519000000005,White
7,8,37044,0.01021147,0.25255174,0.71467366,0.79271095,0.20728905,0.0152356,0.02856234,0.00692849,0.0216692,0.12623281,28289,-0.46212191999999996,White
8,9,36159,-0.013923,0.20568359,0.76405014,0.78264568,0.21735432,0.01635668,0.04141371,0.00784966,0.02873052,0.11987162,25861,-0.55836655,White
9,10,36495,-0.00476008,0.26316947,0.69883427,0.77655805,0.22344195,0.0237655,0.04745397,0.01020723,0.03177721,0.11193282,25962,-0.43566479999999996,White
10,11,36423,-0.00672356,0.40980177,0.54726566,0.70878199,0.29121801,0.0144735,0.04450427,0.00814571,0.09558104,0.1259614,28604,-0.13746388999999998,White
11,12,34854,-0.04951111,0.23274577,0.7388355,0.79821196,0.20178804,0.01098901,0.03341404,0.00659341,0.0252561,0.11864407,26845,-0.50608973,White
12,13,35413,-0.03426685,0.34207364,0.61793947,0.73155158,0.26844842,0.05180852,0.08178481,0.00875583,0.04695266,0.07822895,26154,-0.27586583000000003,White
13,14,38093,0.03881831,0.58366652,0.3734581,0.47062601,0.52937399,0.1134735,0.1019808,0.06659005,0.10705111,0.16427799,29584,0.21020841999999995,Minority
14,15,37439,0.02098335,0.50250993,0.45770585,0.43679151,0.56320849,0.1198522,0.09341369,0.06593485,0.14295451,0.17610131,27876,0.04480407999999997,Minority
15,16,37556,0.02417401,0.56816405,0.39130435,0.55111437,0.44888563,0.07823969,0.07373549,0.04137195,0.12074603,0.15117443,29972,0.1768597,White
16,17,37316,0.01762907,0.50047191,0.46246775,0.52584695,0.47415305,0.06125537,0.08529665,0.03766122,0.16085985,0.1488908,29075,0.03800416000000001,White
17,18,37433,0.02081973,0.5206239,0.43932014,0.61034065,0.38965935,0.04080927,0.06567526,0.02991527,0.13705689,0.12806502,28915,0.08130376,White
18,19,37952,0.03497316,0.45474777,0.51038576,0.67651682,0.32348318,0.03311328,0.07153586,0.01582312,0.10870097,0.09916518,28629,-0.055637990000000026,White
19,20,37147,0.01302034,0.46290643,0.4972622,0.7168217,0.2831783,0.02847405,0.05819073,0.01139672,0.0859902,0.10324505,28166,-0.03435577000000001,White
20,1,145994,0.01701956,0.7289399,0.25531718,0.29434633,0.70565367,0.65600758,0.02474708,0.00100097,0.01442462,0.01574733,111892,0.47362272,Black
21,2,140786,-0.01926028,0.30140148,0.68441765,0.70706404,0.29293596,0.18947178,0.03428907,0.00169139,0.0406657,0.02462012,110560,-0.38301617,White
22,3,143417,-0.00093227,0.2369338,0.75311717,0.73613556,0.26386444,0.1717558,0.0246754,0.00099032,0.01554247,0.04980927,109056,-0.51618337,White
23,4,142905,-0.00449895,0.193091,0.79484403,0.84894801,0.15105199,0.05337182,0.05254707,0.00118448,0.01074807,0.02716409,113974,-0.60175303,White
24,5,140180,-0.02348178,0.22864245,0.76018614,0.74327315,0.25672685,0.17792265,0.0262527,0.00114343,0.01215351,0.03777917,108446,-0.5315436899999999,White
25,6,144201,0.00452921,0.17542881,0.81679207,0.75323672,0.24676328,0.16001653,0.04477947,0.00214733,0.01488756,0.02850828,111301,-0.64136326,White
26,7,145800,0.01566812,0.25295417,0.73613193,0.67250732,0.32749268,0.24925443,0.03817665,0.00169025,0.01707949,0.02368121,113001,-0.48317776,White
27,8,147304,0.02614524,0.51201751,0.47874516,0.43953841,0.56046159,0.50080891,0.03480887,0.00202227,0.01163451,0.01706452,116206,0.03327234999999995,Black
28,9,146042,0.01735393,0.65693189,0.32618838,0.37013124,0.62986876,0.55536815,0.03907307,0.00130009,0.02645865,0.01358949,113838,0.33074350999999996,Black
29,10,143643,0.00064208,0.54499273,0.44492388,0.39409035,0.60590965,0.53243321,0.02485351,0.00098554,0.03813142,0.01408425,111614,0.10006885000000004,Black
